行号	疑似误识	建议术语	原句
49	皮层直	皮层柱	外周的信息传播,它只和大脑皮层直接发生联系。
51	皮层直	皮层柱	它只和大脑皮层直接产生反复的一些信息连接。
52	皮层直	皮层柱	这样完了之后,它和大脑皮层直接进行信息交流之后,
93	怪戒眼	关节炎	牛族里成大怪戒眼,
525	纳甲蚌	钠钾泵	就像纳甲蚌,
527	纳甲蚌	钠钾泵	纳甲蚌是升电的,
528	纳甲蚌	钠钾泵	但纳甲蚌的存在并不参与进气列位的形成,
548	纳甲蚌	钠钾泵	咱们刚才讲了一个纳甲蚌对于进气列位,
550	基细胞	壁细胞	到了新式基细胞进气列位,
553	基细胞	壁细胞	魔点位并不影响新基细胞膜,
560	基细胞	壁细胞	魔点位对于新式基细胞的RK1来说,
621	叫去抑制	交互抑制	有个作用叫去抑制,
623	叫去抑制	交互抑制	什么叫去抑制?
672	叫去抑制	交互抑制	所以叫去抑制,
932	叫去意志	交互抑制	我记得是你觉得这为啥就叫去意志,
968	叫去意志	交互抑制	这叫去意志,
1089	学习考	血细胞	这一年复习学习考验过程中,
1111	链解开	连接肽	内侧部给他一直就把狗链解开了,
1126	低阴性	基因型	直接通过受体是低阴性,
1132	低阴性	基因型	中心对击视觉上是低阴性受体,
1135	低阴性	基因型	低阴性受体越信奉,
1157	高中数	饱中枢	这是中数研究的最高中数,
1579	皮层只	皮层柱	大脑皮层只是产生动作那么错,
1760	谁听到	水通道	不信谁听到了以后,
1960	直接同理	直捷通路	你直接同理性能一起来,
