行号	误识	纠正为	置信度	原句
23	潜伏荷	前负荷	high	第一个就是潜伏荷,所以从此以后脑子里多了个潜伏荷,要不有时候想一想我的学生们背完潜伏荷仨字以后,一辈子也没用过。
23	潜伏荷	前负荷	high	第一个就是潜伏荷,所以从此以后脑子里多了个潜伏荷,要不有时候想一想我的学生们背完潜伏荷仨字以后,一辈子也没用过。
23	潜伏荷	前负荷	high	第一个就是潜伏荷,所以从此以后脑子里多了个潜伏荷,要不有时候想一想我的学生们背完潜伏荷仨字以后,一辈子也没用过。
29	潜伏荷	前负荷	high	什么叫潜伏荷?
68	出肠度	初长度	high	所以说,我们称之为出肠度。
69	出肠度	初长度	high	这个出肠度,在这就叫做肌肉的潜伏和。
759	极小节	肌小节	high	在某一个极小节的长度情况下,
770	最适出长度	最适初长度	high	最适出长度,
771	前赴赫	前负荷	high	也叫最适的前赴赫,
772	出长度	初长度	high	那么这个出长度有多长?
774	极小节	肌小节	high	是一个极小节长度在2.0到2.2个微米的时候,
775	出长度	初长度	high	肌肉的收缩处于最适的出长度,
780	最适出长度	最适初长度	high	最适出长度,
784	极小节	肌小节	high	咱们的极小节身体情况下,
785	最适出长度	最适初长度	high	一般都保持在最适出长度,
797	最适出长度	最适初长度	high	我们的肌肉长度一般就在最适出长度左右,
803	最适出长度	最适初长度	high	那么真实存在的人体的肌肉就是在最适出长度附近,
817	出长度	初长度	high	要保持在最适的出长度这个范围内部,
829	前符合	前负荷	high	前符合不够,
854	出场度	初长度	high	你远远超过了最适的出场度,
900	出场度	初长度	high	最恰当的一个出场度,
915	最适出场度	最适初长度	high	在一个最适出场度的力量最大,
942	出场度	初长度	high	出场度改变收缩力的原因是,
945	前复合	前负荷	high	这是有关前复合的话题,
947	后复合	后负荷	high	谷歌影响因素叫后复合,
948	后复合	后负荷	high	什么叫后复合,
975	后复合	后负荷	high	这个后复合改变了以后,
1000	前复合	前负荷	high	也就前复合,
1004	后复合	后负荷	high	也就后复合,
1008	后复合	后负荷	high	后复合大张力大本,
1015	后复合	后负荷	high	在后复合变化,
1152	前赴贺	前负荷	high	前赴贺后赴贺这样的词,
1152	后赴贺	后负荷	high	前赴贺后赴贺这样的词,
1164	出场度	初长度	high	出场度,
1378	完全强制收缩	完全强直收缩	high	就叫做完全强制收缩,
1391	完全强制收缩	完全强直收缩	high	叫完全强制收缩,
1421	完全强制收缩	完全强直收缩	high	这叫完全强制收缩
1426	完全强制收缩	完全强直收缩	high	什么叫完全强制收缩
1449	完全强制收缩	完全强直收缩	high	发生完全强制收缩的时候
1457	动作点位	动作电位	high	让骨骼肌细胞膜动作点位
1459	动作点位	动作电位	high	必须把动作点位转变成集思滑行
1562	极小节	肌小节	high	极极极小节
1607	机械欧连	机械耦联	high	形成一个机械欧连
1613	电突出	电突触	high	电突出电欧连这个事儿
1718	收缩欧连	收缩耦联	high	收缩欧连
1726	视网通道	释放通道	medium	网上还写着盖敏感盖视网通道
1729	收缩欧连	收缩耦联	high	第二个就是机动机收缩欧连
1761	机球蛋白	肌球蛋白	high	机球蛋白的青链基酶
1763	机球蛋白	肌球蛋白	high	使得机球蛋白青链发生磷酸化
1768	机球蛋白	肌球蛋白	high	机球蛋白青链磷酸化
1773	机球蛋白	肌球蛋白	high	就机球蛋白青链磷酸化
1774	机球蛋白	肌球蛋白	high	在包制内的机球蛋白青链磷酸美
1781	机球蛋白	肌球蛋白	high	叫机球蛋白青链磷酸化
1793	后符合	后负荷	high	后符合
1895	神经地质	神经递质	high	神经地质
