# 源音频：P22-生理学本科教学及考研基础课 p22 血管生理2.m4a
# 时长：3142s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:09] 好,同学们,承诺给大家很详细的讲一下本课的生理学教学的这么一个内容吧。
[00:00:17] 最近日常工作太忙,一直没有一个整段时间坐下来,这会儿晚上了,晚上十点钟左右,终于安静了。
[00:00:25] 静下来咱们,应该说接下来,不是静下来,也是心里边静下来。
[00:00:30] 接下来咱们安安静静的把影响动脉学的因素谈一下。
[00:00:35] 在上节课咱们谈了一下整个的血管生理学的血管分类,血管的名称,不同部位的血压的高低数值。
[00:00:46] 你比如说在动脉血管内部,血压叫动脉血压,静脉血管内部就叫静脉血压,毛细血管内部就叫毛细血管压。
[00:00:53] 第二个咱们非常详细的探讨了一下动脉血压怎么形成的。
[00:00:57] 要由心室的收缩,体循环动脉血压为例,做心室收缩,提供一个原动力。
[00:01:03] 然后在外周阻力存在的情况下,
[00:01:07] 搏出量只有三分之一到外周去了,在收缩器的时候。
[00:01:11] 那么这样在收缩器里边就有三分之二的搏出量,把血管向气球那里吹搭了。
[00:01:18] 所以为了同学们听明白咱们还专门讲,你要说心室吹气球这话是错的,确实是错的。
[00:01:24] 说心室吹一个破的气球,这话反而就对了。
[00:01:28] 那么这个破存的口大一点的话阻力就小。
[00:01:32] 所以这个外周阻力可以提供的情况下,
[00:01:33] 我们理解为是气球让我破的那个口大小。
[00:01:36] 这个破损的缺口大小可以变化。
[00:01:40] 所以世界上生理情况下,乃至病理情况下,外周血管阻力是经常发生改变的,是这个样子。
[00:01:45] 这道病理生理学还要学习。
[00:01:47] 不管怎么样吧,没有外周阻力的话,那么在心扎术上,这个收缩器,
[00:01:52] 心室就不能通过搏出量这个数值把血管给它撑开。
[00:01:57] 因为血管只有一个弹性的回缩力,它力量永远是向心指向,它不会往外。
[00:02:03] 血管不会主动扩张。
[00:02:05] 血管一定是被别人撑开的。
[00:02:07] 被谁啊?
[00:02:07] 被血液。
[00:02:09] 所以这个地方有一个非常重要的词,你谨慎体会一下。
[00:02:12] 我们要是观察或者关心一个动脉血压高低的时候,
[00:02:15] 有个头脑的办法,
[00:02:17] 可以不看血压,
[00:02:19] 看血管。
[00:02:20] 血管是完全被动的被血液给撑开的一个侧压力。
[00:02:23] 那不用问,血管
[00:02:25] 受到血液的侧压力也大。
[00:02:28] 血管这个弹簧
[00:02:29] 被拉得就越长,
[00:02:30] 反过来F等于FKX,
[00:02:32] 回弹了就越大。
[00:02:33] 所以根据牛顿第三定律,
[00:02:36] 不用质疑,不用怀疑。
[00:02:38] 血管有粗的时候,
[00:02:40] 说明
[00:02:41] 血压要高。
[00:02:42] 不是因为血管粗,血压才高。
[00:02:44] 而是因为血压高,
[00:02:46] 把血管憋错了。
[00:02:48] 恐怕这个核心思想是哪一个字?
[00:02:50] 憋。
[00:02:51] 将来咱们在大二的时候还好,将来学到临床内科学,学到
[00:02:55] 肾耳球肾炎,肾炎综合征,
[00:02:57] 我就会专门讲一句话,中华学生,
[00:02:59] 肾炎和肾病都会水肿,将来有一天你们学到内科学会不一样。
[00:03:03] 肾脏肺炎患者,
[00:03:05] 眼睛,眼皮肿。
[00:03:07] 肾脉综合征患者,脚丫子肿。
[00:03:09] 当然肾炎肿了以后,
[00:03:11] 肾炎肿了以后也会全身肿,
[00:03:13] 但先肿的是
[00:03:15] 组织疏松的眼睫,不小心成泡泡眼了。
[00:03:18] 为什么他们就不一样?肾炎的水肿是血容量太大,
[00:03:22] 把它憋出来的。
[00:03:23] 如果是一个肾脏腫炎病人,血容量太大,
[00:03:27] 把水都憋到血管外面,憋到眼睫的水肿了,
