行号	误识	纠正为	置信度	原句
22	感觉奇怪	感觉器官	medium	我感觉奇怪,这一张就合并到神经系统去了,到了第九版又重新分开。
23	感觉奇怪	感觉器官	medium	这张不能合,我当时开玩笑说,你说到底感觉奇怪大还是神经系统大?
76	感受起	感受器	high	你感受到的感受是由感受起和感觉起过的感受刺激,经过传入通路的信息传入。
76	感受刺	感受器	medium	你感受到的感受是由感受起和感觉起过的感受刺激,经过传入通路的信息传入。
154	感受气	感受器	high	这些感受气感受结构感受细胞特化出来
395	主动脉功	主动脉弓	high	主动脉功
501	幻能作用	换能作用	high	所谓的幻能作用
509	试追细胞	视锥细胞	high	你比如说试感试追细胞
514	感受器点位	感受器电位	high	我们给名字叫感受器点位
528	发生器点位	发生器电位	high	发生器点位
541	感受器点位	感受器电位	high	叫感受器点位
543	发生器点位	发生器电位	high	它就只能是发生器点位了
570	局部点位	局部电位	high	是在视感视规细胞膜上产生的一个局部点位
574	动作点位	动作电位	high	什么时候也变成动作点位
576	动作点位	动作电位	high	视网膜最早产生动作点位的部位
588	发生器点位	发生器电位	high	就叫做发生器点位
591	感受器点位	感受器电位	high	才叫做感受器点位
595	发生器点位	发生器电位	high	也有发生器点位
598	发生器点位	发生器电位	high	所以它就只有发生器点位
636	发生器点位	发生器电位	high	发生器点位也好
637	局部点位	局部电位	high	他们事都是一个局部点位
638	局部点位	局部电位	high	局部点位的话
640	动作点位	动作电位	high	动作点位
645	局部点位	局部电位	high	那么局部点位就可以叠加和总和了
656	中板点位	终板电位	high	和中板点位
657	突出后点位	突触后电位	high	以及突出后点位
659	局部点位	局部电位	high	经典的几个局部点位
689	动作点位	动作电位	high	那么参与动作点位的神经结细胞数量就多
703	动作点位	动作电位	high	动作点位产生的频率高一点
711	动作点位	动作电位	high	一个方法是参与传导冲动的神经纤维动作点位
1011	感受起	感受器	high	感受起不适应
1019	感受起	感受器	high	感受起会适应
1077	感觉习惯	感觉器官	medium	感觉习惯
