行号	疑似误识	建议术语	原句
40	心理失常	心律失常	叫心理失常
41	心理失常	心律失常	心理失常可以是一个病
138	心理市场	心律失常	比方说心理市场
229	着细胞	主细胞	一块它是包裹着细胞内部的抛浆的
447	着细胞	主细胞	贯穿着细胞膜的
453	泄蛋白	铁蛋白	排泄蛋白质
461	切蛋白	铁蛋白	膜的相切蛋白质
594	理学呀	低血压	这个生理学呀
1073	数蛋白	视蛋白	我数数蛋白质
1317	传到另	传导性	它怎么样从膜的一侧传到另一侧的
1391	液化扩散	易化扩散	所谓的液化扩散
1395	液化扩散	易化扩散	那么液化扩散有分为两种
1398	液化扩散	易化扩散	先来看液化扩散本身
1479	液化扩散	易化扩散	那么这个液化扩散是给谁写的
1506	液化扩散	易化扩散	液化扩散
1508	液化扩散	易化扩散	液化扩散
1510	液化扩散	易化扩散	液化扩散
1540	体化扩散	易化扩散	不管载体化扩散
2100	关进冰	冠心病	把大象关进冰箱里
2377	体化扩散	易化扩散	叫载体化扩散
2408	体化扩散	易化扩散	载体化扩散
2426	逆化扩散	易化扩散	逆化扩散翻译过来
2449	逆化扩散	易化扩散	就逆化扩散
2552	体化扩散	易化扩散	载体化扩散时候
2570	体化扩散	易化扩散	是存在载体化扩散的
2578	体化扩散	易化扩散	是载体化扩散的
2589	体化扩散	易化扩散	葡萄糖载体化扩散的时候
2651	体化扩散	易化扩散	通过载体化扩散的时候
2789	看通道	慢通道	咱们接着看通道
3051	般通道	慢通道	但一般通道都有选择性的
3214	机细胞	壁细胞	机细胞收缩就发现
3240	学习药	血细胞	是为下个学期学习药理学打基础的
3262	新知识	心指数	学会这一辈子不断获取更新知识的能力
3288	提华扩散	易化扩散	在提华扩散和通道一号
3736	内部吸	内呼吸	细胞内部吸引水的能力
