行号	疑似误识	建议术语	原句
4	心知识	心指数	好同学们,咱们就今下来拿一个大的篇幅,安心读一读生理学上一个核心的知识,也是神经系统的一个核心知识,就是有关神经系统第四节,它对于姿势和运动的调节。
65	动作变位	动作电位	拉法士结之间,才产生动作变位,跳跃式转导。
65	跳跃式转导	跳跃式传导	拉法士结之间,才产生动作变位,跳跃式转导。
75	心理失常	心律失常	你要说内科学上心理失常,心电图,那确实不会。
120	自己塑	雌激素	这样的慢慢的把自己塑造成了一个对社会有点用的一个知识分子,
174	些抗击	拮抗剂	协同一些抗击之间,
185	提层级随数	皮层脊髓束	提层级随数,
250	谁听到	水通道	谁听到了或者翻书了,
763	尿出流	尿潴留	放尿出流,
776	尿出流	尿潴留	到底尿出流还是一亿尿,
790	中枢去	重摄取	传不到中枢去,
814	尿储留	尿潴留	所以尿储留是本质,
821	尿储留	尿潴留	叫缝尿储留,
911	皮层支	皮层柱	若恢复以后并没法恢复大脑皮层支配下肢的手术手掌,
937	脸反射	腱反射	前脸反射是吧,
1035	鸟出流	尿潴留	包括蜂鸟出流,
1206	尿储留	尿潴留	那么脊丘磕恢发生的时候是缝尿储留,
1208	尿储留	尿潴留	缝尿储留是,
1225	尿储留	尿潴留	叫缝尿储留,
1565	鸟处流	尿潴留	腹鸟处流吧
1627	前反射	腱反射	前反射不能引出
1738	肩板设	腱反射	肩板设抗净
1854	尿处流	尿潴留	叫凤尿处流
