# 源音频：P47-生理学本科教学及考研基础课 p47 感官2-视觉器官（折光）.m4a
# 时长：4966s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,这节课咱们接着往下看一看这个视觉器官。
[00:00:14] 所以世界上为什么一直讲课呀,我喜欢讲感官这一章,别的章节大,内容多,而且内容内在内中,错综复杂的观念度比较高。
[00:00:25] 刚才还一直在想,比如说我们学医学好多同学为什么说学完之后效果不好呀,他们觉得我学生理是生理,要理是要理。
[00:00:34] 其实不是,你生理学这个过程加持一些干预的手段,给受体机动机,给受体拮抗剂,给替代物,你就变成药理学了。
[00:00:44] 那么这个基础上如果是在生理的过程中有一些外来的病的因素,发烧了,感染了,肿瘤了,这些情况下,合体的很多技能它的原来动态平衡就破坏掉了。
[00:00:57] 那么破坏掉又会是什么样子,就叫平生。
[00:01:00] 破坏掉这些样子,你通过实验室检查,
[00:01:03] 通过设备检查,通过咱们去问着,问问病人怎么难受,再查一查病人身上有没有找个包呀,有没有一个磕呀,什么各种各样,你打的地方说凹死了几个呢,这样的东西,班呀,这些东西。
[00:01:19] 什么心肌波动向左一位向左下一位,这就叫诊断学了。
[00:01:24] 那么出现这些问题后,我拿什么手段来处理,处理完之后结果怎么样,处理过程中有没有变化。
[00:01:31] 这个疾病本身能不能引起别的影响?
[00:01:33] 或者正好得这个病之前,或者同时,有没有还有别的病。
[00:01:39] 比如正好腿给小车骨骼给压一下骨折了,加上正好新冠肺炎,又感冒了,又咳嗽了,那么这叫合并症。
[00:01:47] 并发症,以后是把治疗原则,治疗细节,这就叫内科学。
[00:01:53] 因此说这个学习,昨天微博上写一篇文章还在说,实际上你回头看一下,大一大,大三大四,大五,这五年里边差的可不是一岁。
[00:02:03] 是你对更复杂知识的一种把控的这种准备,你准备好了没有?
[00:02:11] 你比方说咱们在学到生理学,细胞这一章学细胞生物鞭,这些鞭位就是甲离子外流,甲骨通道。
[00:02:19] 到98月读到新世纪发现不对,新世纪细胞经济鞭位也是甲外流没问题,但那通道就不是甲漏,是RK1。
[00:02:27] 可是RK1也是肺门空的,还没有完。
[00:02:30] 再读到诊断或病生就发现,这个新世纪系。
[00:02:34] 进行鞭位,伴随膜外甲浓度变化,那么这个膜对甲通道性会改变。
[00:02:40] 低甲数通道性低,高甲数通道性高。
