行号	误识	纠正为	置信度	原句
46	潜艇小脑	前庭小脑	high	潜艇小脑,或者按照顺序,潜艇,脊髓,皮层,三框。
218	神经地质	神经递质	high	他把钢丸基丁酸作为一个神经地质发挥作用的,
219	神经地质	神经递质	high	所以咱们在前几节谈到神经地质的建议,
223	神经地质	神经递质	high	我们至少应该对于四种不同的胺基酸类的神经地质,
241	基地神经节	基底神经节	high	咱们说在基地神经节,
261	基地神经节	基底神经节	high	基地神经节和蛋脑皮层连接,
267	基地神经节	基底神经节	high	你也至少知道基地神经节内部怎么结构的,
342	球脑底核	丘脑底核	high	到球脑底核,
343	球脑底核	丘脑底核	high	球脑底核还没有完,
349	球脑底核	丘脑底核	high	一种办法是绕过外侧部和球脑底核,
360	球脑底核	丘脑底核	high	球脑底核,
482	前张反射	牵张反射	high	在前张反射这儿,
485	前张反射	牵张反射	high	谷歌基前张反射反射虎败五个结构,
506	前张反射	牵张反射	high	所以伽马神经元是通过调控前张反射的感受器的活动,
507	前张反射	牵张反射	high	进而引发前张反射的,
516	前张反射	牵张反射	high	所以伽马神经元对前张反射来说一样的,
553	魔点位	膜电位	high	魔点位并不影响新基细胞膜,
557	魔点位	膜电位	high	但是魔点位发生改变的时候,
560	魔点位	膜电位	high	魔点位对于新式基细胞的RK1来说,
648	抑制去	抑制区	high	把抑制去掉,
671	运动前去	运动前区	high	对球脑和皮层运动前去的抑制作用拿掉,
741	部抑制	去抑制	medium	信封那体就把内侧部抑制掉,
742	部抑制	去抑制	medium	把内侧部抑制掉了,
818	抑制去	抑制区	high	把抑制去掉了,
921	去意志	去抑制	high	去意志三个字,
932	去意志	去抑制	high	我记得是你觉得这为啥就叫去意志,
935	去意志	去抑制	high	去意志吧,
957	意志去	抑制区	high	把谁的意志去掉了,
968	去意志	去抑制	high	这叫去意志,
970	部抑制	去抑制	medium	皮层平时一直被内侧部抑制,
983	运动前驱	运动前区	high	持续对敲脑的VVL和运动前驱,
1143	运动前驱	运动前区	high	运动前驱吧,
1178	性分性	兴奋性	high	来提高皮层的性分性,
1205	丘脑底盒	丘脑底核	high	到丘脑底盒,
1206	丘脑底盒	丘脑底核	high	丘脑底盒再释放果氨酸,
1211	丘脑底盒	丘脑底核	high	丘脑底盒越兴奋,
1215	丘脑底盒	丘脑底核	high	丘脑底盒是负责把狗链子刷的再老一点,
1220	丘脑底盒	丘脑底核	high	到丘脑底盒受插不去外侧部支配,
1222	丘脑底盒	丘脑底核	high	丘脑底盒就抑制了,
1223	丘脑底盒	丘脑底核	high	丘脑底盒,
1231	丘脑底盒	丘脑底核	high	就可以通过抑制丘脑底盒,
1245	丘脑底盒	丘脑底核	high	丘脑底盒,
1248	运动前驱	运动前区	high	运动前驱,
1259	丘脑底盒	丘脑底核	high	抑制丘脑底盒和内侧部,
1306	运动前驱	运动前区	high	对运动前驱,
1315	运动前驱	运动前区	high	对运动前驱的作用,
1326	运动前驱	运动前区	high	到运动前驱,
1358	运动前驱	运动前区	high	并没有从球脑底和去大脑皮的运动前驱,
1367	运动前驱	运动前区	high	对于皮丝运动前驱,
1470	取医治	去抑制	high	导致取医治的效果呀,
1476	运动前驱	运动前区	high	是运动前驱,
1771	肢解通路	直捷通路	high	肢解通路的活动减弱,
1772	肢解通路	直捷通路	high	肢解通路活动增强,
1857	机动剂	激动剂	high	休运亭是一个导办事的机动剂,
1993	去意志	去抑制	high	去意志,
1995	意志去	抑制区	high	是把意志去掉,
2018	去意志	去抑制	high	去意志,
