行号	误识	纠正为	置信度	原句
8	自身调解	自身调节	high	而肾脏的血液胸环是咱们生理学上排名第一的自身调解的案例,最近的一个案例,自身调解,基于学说。
8	自身调解	自身调节	high	而肾脏的血液胸环是咱们生理学上排名第一的自身调解的案例,最近的一个案例,自身调解,基于学说。
51	充吸收	重吸收	medium	在学到圣藏圣消化物质充吸收
60	充吸收	重吸收	medium	一个圣消化物质充吸收
72	充吸收	重吸收	medium	那么圣消化这个物质充吸收
79	充吸收	重吸收	medium	我要学习圣消化的物质充吸收
96	充吸收	重吸收	medium	大概学圣小宝物质充吸收
100	充吸收	重吸收	medium	一个物质要充吸收
112	充吸收	重吸收	medium	圣小宝物质充吸收
119	异化扩散	易化扩散	high	载体异化扩散
121	计法性主动转运	继发性主动转运	high	计法性主动转运
395	进去小管	近曲小管	high	进去小管
397	远去小管	远曲小管	high	远去小管
412	进去小管	近曲小管	high	我们发现你只研究进去小管不够
413	进去小管	近曲小管	high	我们生理学上特别把进去小管和随泡的讲之粗端
416	进去小管	近曲小管	high	所以教材有时候叫做进去小管
422	进去小管	近曲小管	high	又叫做进去小管的直部
426	进去小管	近曲小管	high	因为前一个部分进去小管和后一个部分随泡的讲之粗端
443	球旁气	球旁器	high	那个在前面讲过就是球旁气的功能
510	小管页	小管液	high	这块是小管页
522	水桶道	水通道	high	另外还有水桶道
528	小管页	小管液	high	从小管页中
534	组织页	组织液	high	所以到了管外组织页之后
596	组织业	组织液	high	外面就组织业呗
600	组织业	组织液	high	组织业主再穿过
887	生医学	生理学	medium	应该也跟医生医学家都说
1000	通向转运	同向转运	high	这边装点什么纳藏通向转运铁
1015	纳甲泵	钠钾泵	high	没有长纳甲泵
1016	纳甲泵	钠钾泵	high	要没有纳甲泵的话
1113	复塞米	呋塞米	high	复塞米
1115	复塞米	呋塞米	high	复塞米在这怎么发挥作用的
1120	复塞米	呋塞米	high	复塞米塑尿
1277	激发性主动转运	继发性主动转运	high	激发性主动转运
1306	小管叶	小管液	high	又回溜到小管叶中
1333	小管叶	小管液	high	小管叶正列为了
1337	小管叶	小管液	high	小管叶
1354	小管叶	小管液	high	造成小管叶正点位以后
1386	复赛米	呋塞米	high	复赛米
