行号	疑似误识	建议术语	原句
7	异常自身调解	异长自身调节	实际上人体的器官或组织有很多自身调解,比如说心脏,在它潜伏和发生改变的时候,它就分别发生所谓的异常自身调解等等。
15	异常自身调解	异长自身调节	到内封密系统你还能学到所谓的异常自身调解。
166	批制激素	抑制激素	盐批制激素,
225	机细胞	壁细胞	平滑机细胞,
229	机细胞	壁细胞	平滑机细胞内部的机制网,
237	机细胞	壁细胞	影响平滑机细胞的,
239	机细胞	壁细胞	就能改变平滑机细胞收缩,
403	传老行	传导性	不敢传老行,
404	传老行	传导性	不敢传老行,
671	乳吸收	骨吸收	溶质乳吸收增加,
736	球膀气	球旁器	一个是对于球膀气,
738	肾脚球	肾小球	另外对于肾脚球滤过,
856	时方合	室旁核	一条就是下圈道视场时方合,
867	时方合	室旁核	因为下圈道视场时方合,
954	市王河	室旁核	来自夏群岛市上市王河,
1001	易刺激	阈刺激	容易刺激ADH蜂蜜,
1005	易刺激	阈刺激	尽管不容易刺激这个激素蜂蜜,
1015	易刺激	阈刺激	哪一个容易刺激ADH蜂蜜呀?
1029	度强度	阈强度	病理浓度强度大,
1261	盐激素	孕激素	缺骨酮是人体重要的水盐激素,
1264	脂肪激素	释放激素	实际上是一个脂肪激素,
