# 源音频：P31-生理学本科教学及考研基础课 p31 呼吸-第四节（呼吸运动的调节）.m4a
# 时长：1957s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:01] 好同学们,这下咱们就接下来看一下呼吸这一章的第四节,有关呼吸运动的调节。
[00:00:08] 实际上这一节包含两个内容,一个内容是人体的呼吸节位的产生,就是一个人实际上他怎么样开始产生呼吸,吸呼吸呼,
[00:00:18] 差不多从开始出声,第一声啼哭,到生理攻击之前,呼吸运动一直非常平稳的在运作着,一个呼吸一个心跳,当然心跳开始的比呼吸还要早,
[00:00:29] 在胎儿时期开始跳动了,我们叫胎心,刚刚学生理学还不注意,妈妈家里学产科会发现,胎儿在母亲体内大概一分钟心跳是在140次左右,
[00:00:41] 而且不像咱们循环学正常人听证的时候,心脏是有第一第二声音,啼哒,啼哒,胎儿听试,叫中板率,啼啼啼啼啼啼,大概就这个速度,140、144次左右,差不多应该就是啼啼啼啼啼啼,应该这个样子。
[00:00:59] 这样的话,妈妈一激动,一生气,开始心跳就快了,啼啼啼啼啼啼啼,就快了,妈妈一平复,啼啼啼啼啼,又拿下了。
[00:01:07] 所以很有意思,慢慢咱们学习生理学,就有点生命科学的味道。
[00:01:12] 对了,很有意思,看看这个人体的运动,呼吸运动,它基本结率怎么产生的。
[00:01:19] 然后再来看一看呼吸运动如何调节的两个话题,先往下读。
[00:01:24] 这里边有呼吸中枢和呼吸结率产生一些进展。
[00:01:29] 基本的一些解剖学的知识
[00:01:31] 比如说我们的隔肌
[00:01:33] 它主要来自脊髓的
[00:01:35] 从C3到C6
[00:01:36] 这样说法有点
[00:01:38] 有点范围点大
[00:01:39] 从临床医学角度看
[00:01:40] 我觉得话
[00:01:41] 大概隔肌的主要支配
[00:01:43] 来自于颈髓第三节
[00:01:46] 第三节
[00:01:47] 所以像你有机会到大四大五
[00:01:50] 你开始慢慢学
[00:01:50] 临床医学
[00:01:51] 学骨科学
[00:01:53] 这个脊髓损伤
[00:01:54] 有车祸
[00:01:55] 高位颈髓损伤
[00:01:57] C234
[00:01:58] 这个损伤
[00:01:58] 患者可以死于车祸现场
[00:02:01] 因为呼吸中辅
[00:02:02] 就算是隔肌不收缩
[00:02:04] 不活动
[00:02:04] 所以隔肌主要是上位的
[00:02:06] 颈髓支配的
[00:02:07] 不管怎么样
[00:02:08] 咱往底下走
[00:02:09] 还有基本的呼吸肌
[00:02:10] 还有内肩肌和腹肌
[00:02:12] 它是从体一
[00:02:14] 第一胸端到13
[00:02:17] 这个阶段
[00:02:18] 包括腹肌
[00:02:19] 这是一个应该叫呼吸肌的
[00:02:22] 解剖学基本常识
[00:02:24] 先往下走
[00:02:27] 另外和呼吸节律
[00:02:29] 它的产生
[00:02:30] 和平衡有关的
[00:02:31] 有脑桥
[00:02:33] 有盐水
[00:02:34] 你这里边画了个示意图
[00:02:35] 比如说在动物实验中
[00:02:38] 你在脑干的不同水平跟它离断
[00:02:40] 你发现
[00:02:42] 你看从A这个地方离断的时候
[00:02:44] 它的呼吸
[00:02:45] 从一个吸气
[00:02:47] 变成一个吸气切断
[00:02:48] 是这么个样子的
[00:02:50] B这个地方切断以后
[00:02:51] 它变成一个长吸式的
[00:02:53] 对了
[00:02:54] C这个切断以后
[00:02:55] 变成你看
[00:02:55] 它有点猛乱
[00:02:56] 叫喘吸式呼吸
[00:02:58] 你要从D这个水平
[00:02:59] 盐水低位
[00:02:59] 盐水把它切断以后
[00:03:01] 它的呼吸就消失了
[00:03:03] 所以解剖学有个印象说
[00:03:04] 盐水我们称之为生命功夫
[00:03:07] 基本的心脏和呼吸的节律
[00:03:10] 它的应该说是中枢
[00:03:13] 基本位置是在D脑干
[00:03:15] 这么个说法
[00:03:17] 从呼吸这个节律里边
[00:03:18] 你能发现
[00:03:19] 在实验动物的中枢的不同部位切断的时候
[00:03:22] 它的呼吸形式有所改变
[00:03:25] 这提示咱们说
[00:03:26] 看起来呼吸节律形成和影响
[00:03:29] 呀
[00:03:29] 不是某一个脑区
[00:03:31] 可能是多个脑区共同参与的结果
[00:03:33] 但是一定要声明
[00:03:35] 到今天为止
[00:03:36] 呼吸中枢到底怎么运作的
[00:03:38] 仍然不得而知
[00:03:39] 不像心脏节律
[00:03:40] 你还比较简单
[00:03:41] 心脏节律就来自于心脏
[00:03:43] 抖方结细胞的第四期自动区域化
[00:03:45] 那个比较明朗
[00:03:46] 所以也有科学家提出来说
[00:03:48] 有没有可能盐水这儿也存在像抖方结那样
[00:03:51] 一个自动区域化的细胞
[00:03:53] 但到今天为止
[00:03:53] 我们没找到
[00:03:54] 我们用脑片技术
[00:03:56] 脑片潜质技术
[00:03:57] 包括脑细胞一些
[00:03:59] 电流切电压切技术
[00:04:00] 应该说一个细胞
[00:04:01] 如果放电的话
[00:04:02] 我们能看到
[00:04:04] 今天没有看到的话
[00:04:05] 看起来结构上
[00:04:06] 我们认知的方向有问题
[00:04:08] 因为有人提出说
[00:04:09] 盐水这儿是不是想将来神经系统
[00:04:12] 学这个神经环式连接
[00:04:14] 转一圈放一次电
[00:04:16] 但这个结构好像我们也没有找到
[00:04:18] 所以作为生命一个最神秘的现象
[00:04:21] 呼吸心跳
[00:04:23] 包括消化
[00:04:24] 这样最基本的一些所谓的植物功能
[00:04:27] 我们的生理学也觉得
[00:04:29] 不明了
[00:04:30] 所以科学应该是一直在不断的摸索中
[00:04:33] 接纳前进者
[00:04:34] 今天写在教材上的未必是定论
[00:04:37] 对了
[00:04:37] 说这都不明白
[00:04:38] 你也讲不清楚
[00:04:39] 不是我讲不清楚
[00:04:40] 是这儿就还不清楚
[00:04:42] 听完就算了
[00:04:43] 往下走
[00:04:44] 咱们读读文字得了
[00:04:45] 第一块叫呼吸的调整工术
[00:04:48] 这位于脑桥的上部
[00:04:50] 包括B旁的内侧核
[00:04:52] 就PB核和KF核
[00:04:54] 核成为PBKF核群
[00:04:57] 它可以抑制
[00:04:59] 吸气中枢
[00:05:00] 促使吸气转为呼气
[00:05:03] 这和呼气形式转换有关系
[00:05:05] 对了
[00:05:06] 吸气呼气转换调整功夫
[00:05:09] 但基本的放电在哪里
[00:05:10] 你这看到了
[00:05:12] 低水平
[00:05:12] 是在低于脑干
[00:05:13] 在盐水这
[00:05:15] 基本截律从这发出
[00:05:16] 发出以后
[00:05:18] 再往上面走
[00:05:19] 还有脑桥上部
[00:05:20] 这写的 PPKF和呼吸形式
[00:05:24] 就是你什么时候吸气结束
[00:05:25] 应该转成呼气了
[00:05:26] 吸气
[00:05:27] 胡建民管他的话
[00:05:28] 他就吸板贴布
[00:05:29] 胡这也不对
[00:05:31] 下面还有一个东西
[00:05:32] 过去认为脑桥中下部
[00:05:34] 这是脑桥上部呼吸调整中枢
[00:05:36] 认为脑桥中下部
[00:05:37] 有一个长吸中枢
[00:05:39] 加强吸气中枢的兴奋
[00:05:41] 引起长吸
[00:05:42] 但是到现在为止
[00:05:43] 这个结构
[00:05:44] 咱们也没有证实掉
[00:05:45] 换句话说
[00:05:46] 呼吸截律怎么形成的
[00:05:48] 到今天为止
[00:05:49] 依然是假说
[00:05:51] 没有定论
[00:05:52] 那么这样的话我读一读
[00:05:53] 但我知道你要把盐水破坏掉以后
[00:05:55] 的话
[00:05:56] 呼吸是维持不了的
[00:05:57] 这个没有问题
[00:05:58] 所以基本中枢在这一块
[00:05:59] 问题不大
[00:06:00] 但在这一块里边
[00:06:01] 生银河团之间
[00:06:02] 是单一生银河团的周期性放电
[00:06:04] 还是不同河团之间一个环路
[00:06:07] 或者回路的连接
[00:06:09] 我们不得而知
[00:06:13] 往下走
[00:06:13] 就像刚才说
[00:06:14] 那么呼吸还有基本截律
[00:06:16] 除了脑桥上部
[00:06:17] 脑桥中下部
[00:06:18] 长吸中枢调整中枢以外
[00:06:19] 那么基本中枢哪来的
[00:06:20] 基本中枢咱们是来自盐水
[00:06:22] 在这个地方分为背侧的呼吸组
