行号	误识	纠正为	置信度	原句
11	分解运动	分节运动	high	这里边从几个话题,从胰液分泌、胆汁的分泌和排出,以及小肠液,最后还有一块就是物理消化,它的小肠运动,你比如说分解运动。
43	减重度	碱中毒	high	代谢性减重度的案例。
47	减重度	碱中毒	high	所以你看,上消化道液体丢失,肌体就是代谢性减重度。
48	酸重度	酸中毒	high	如果下消化道液体的丢失,肌体就是代谢性酸重度。
200	腐质酶	辅脂酶	high	乙质酶和腐质酶。
206	乙代白酶	胰蛋白酶	medium	乙代白酶元,
207	乙代白酶	胰蛋白酶	medium	乙代白酶元,
219	腐质酶	辅脂酶	high	是这样为什么长腐质酶啊?
227	腐质酶	辅脂酶	high	这个腐质酶就是那万能胶,
231	腐质酶	辅脂酶	high	腐质酶可以将乙质酶固定在脂肪底的边粘上,
237	腐质酶	辅脂酶	high	但没有腐质酶的话,
241	腐质酶	辅脂酶	high	腐质酶帮助,
249	腐质酶	辅脂酶	high	乙质酶和腐质酶,
367	胰带白酶	胰蛋白酶	medium	第四块是胰带白酶和糜带白酶,
375	胰带白酶	胰蛋白酶	medium	而胰带白酶,
378	胰带白酶	胰蛋白酶	medium	胰带白酶就必须用肠致活能,
380	肠积酶	肠激酶	high	叫肠积酶。
383	肠积酶	肠激酶	high	肠积酶。
384	肠积酶	肠激酶	high	肠积酶和胰带白酶,
384	胰带白酶	胰蛋白酶	medium	肠积酶和胰带白酶,
386	胰带白酶	胰蛋白酶	medium	而糜带白酶就是由激活的胰带白酶,
387	胰带白酶	胰蛋白酶	medium	变成胰带白酶。
389	胰带白酶	胰蛋白酶	medium	胰带白酶原是被胰带白酶激活的。
389	胰带白酶	胰蛋白酶	medium	胰带白酶原是被胰带白酶激活的。
390	胰带白酶	胰蛋白酶	medium	胰带白酶尽管能被多的东西激活,
392	肠积酶	肠激酶	high	现在咱们叫做肠积酶,
394	胰带白酶	胰蛋白酶	medium	胰带白酶原是被肠积酶激活的。
394	肠积酶	肠激酶	high	胰带白酶原是被肠积酶激活的。
395	肠积酶	肠激酶	high	而肠积酶本身就成了故事。
400	肠积酶	肠激酶	high	小肠积酶的酶从来不曾进入肠腔,
407	肠积酶	肠激酶	high	肠积酶。
408	肠积酶	肠激酶	high	但是肠积酶并没有消化吸收作用,
410	胰带白酶	胰蛋白酶	medium	它负责激活胰带白酶原的。
419	胰带白酶	胰蛋白酶	medium	它只是去激活一下胰带白酶。
426	胰带白酶	胰蛋白酶	medium	胰带白酶和米胰带白酶单独作用,
426	胰带白酶	胰蛋白酶	medium	胰带白酶和米胰带白酶单独作用,
436	胰带白酶	胰蛋白酶	medium	另外除了胰带白酶原和米胰带白酶原以外,
436	胰带白酶	胰蛋白酶	medium	另外除了胰带白酶原和米胰带白酶原以外,
444	胰带白酶	胰蛋白酶	medium	胰带白酶,
445	胰带白酶	胰蛋白酶	medium	米胰带白酶,
448	麸脂酶	辅脂酶	high	麸脂酶,
570	刺激醋	雌激素	medium	来刺激醋一夜素分泌,
611	刺激苏	雌激素	high	刺激苏蛋狼,
763	冲吸收	重吸收	medium	有一些液体成分就被冲吸收了,
849	胜利确	生理学	medium	和咱们呼吸胜利确认,
860	孵植酶	辅脂酶	high	如果说孵植酶是把脂肪摁住不让跑,
1079	未排空	胃排空	high	未排空的是糖,
1133	醋乙液素	促胰液素	high	通过醋乙液素作用,
1137	醋乙液素	促胰液素	high	醋乙液素,
1139	醋乙液素	促胰液素	high	醋乙液素刺激导管上皮,
1141	醋乙液素	促胰液素	high	所以醋乙液素不但醋乙液,
1149	肠胆循环	肠肝循环	medium	然后胆液肠胆循环,
1165	肠基酶	肠激酶	high	好不容易把那个肠基酶掉下来,
1168	肠基酶	肠激酶	high	这肠基酶并没有消化作用,
1198	肠基酶	肠激酶	high	以及肠基酶,
1202	肠基酶	肠激酶	high	以及肠基酶激活一代白美联,
1219	肠基美	肠激酶	high	所以好不容易掉下一个肠基美肠致火美来吧,
1336	分解运动	分节运动	high	那么第二会儿是分解运动,
1343	容寿性舒张	容受性舒张	high	容寿性舒张,
1796	集团乳洞	集团蠕动	high	另外还有乳洞和集团乳洞
1797	乳洞虫	蠕动冲	high	就像小肠的乳洞和乳洞虫一样
1798	集团乳洞	集团蠕动	high	它是集团乳洞
1993	肾糖瘀	肾糖阈	high	有肾糖瘀的概念
2015	钠夹绷	钠钾泵	high	钠夹绷的活动
2158	激发性主动转运	继发性主动转运	high	所以糖在发生激发性主动转运的时候
2227	减重毒	碱中毒	high	减重毒自带着逼钙血针
2228	减重毒	碱中毒	high	减重毒怎么逼钙血针
2241	减重毒	碱中毒	high	所以所谓的减重毒自带低钙血针
2532	微焦力	微胶粒	high	那么咱们要一个微焦力的目的是什么
2533	微焦力	微胶粒	high	蛋液的微焦力
