# 源音频：P56-生理学本科教学及考研基础课 p56 神经系统7-痛觉.m4a
# 时长：3651s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,上节课咱们在感觉传入这一块呀,谈了一下特异和非特异投射系统。
[00:00:17] 上下叉有这样一个图,它比较,应该说比较形象的阐述了一下特异非特异。
[00:00:24] 这儿写了两个案例,一个是听神经,你还觉得听神经是在球脑的内侧细胞体,视觉是在外侧细胞体。
[00:00:33] 它这个地方展示了一下,或者显示,应该就叫展示了一下,听觉传入的整个一条通路。
[00:00:41] 它到了内侧细胞体以后呀,这下面给你描述了一下说,黑色区域代表脑干的网状系统,然后实现就反映着或者代表着一个特异投射系统,虚线代表着非特异。
[00:00:56] 听觉从这听神经从这传入以后呀,然后通过这个三叉神经相关的一些。
[00:01:03] 听神经解,然后传入到内侧细胞体,两边对称的内侧细胞体。
[00:01:09] 然后一实现就是一特异系统,就到涅射涅痕回,斯尼斯尔区去了。
[00:01:15] 一会儿咱们会谈,到了平生代表区。
[00:01:18] 坐过神经,作为周围的一个传入,肢体的一个感觉传入。
[00:01:22] 进来之后你看,先交叉,后上行,哎,过了以后哎,往上走。
[00:01:28] 在上行过程中,不断的向网状的脑干网状系统,在发出一些。
[00:01:33] 测试着一些,投射,实际上听觉也有。
[00:01:35] 所以是这样的话,他从这个地方上来以后,你发现,从网状上行。
[00:01:40] 这个机动系统,网状结构进来以后哎,就是一虚线方式。
[00:01:45] 虚线反应者或者代表着,非透着,特异通的系统。
[00:01:49] 虚线方式上来以后,你看,他多出去投射。
[00:01:52] 分叉,弥散性。
[00:01:55] 那么这作物出现的,你比如说痛觉进来以后哎,他也实现部分。
[00:02:00] 到后负荷,就复合外侧行。
[00:02:03] 从这个地方。
[00:02:04] 也实现部分。
[00:02:05] 直接去当地批层。
[00:02:06] 这里边咱们知道,一会儿我谈到的,到哪里去了。
[00:02:08] 到批层的,不知道得满分区的312区。
[00:02:12] 实现上面就是这样走的。
