# 源音频：P06-生理学本科教学及考研基础课 p06 细胞电1.m4a
# 时长：5671s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好,同学们,咱们上节课在这儿简单看了几个有关静息电位的概念,
[00:00:17] 极化、超极化、去极化、负极化、反极化、超摄这么一些话题。
[00:00:24] 而且在上一节课结束之前,咱们专门谈了这么一个东西,
[00:00:28] 什么东西啊,比如说,是这个负极化的时候,这样一个概念,负极化,
[00:00:34] 它实际上是细胞膜去极化以后,在向静息电位方向恢复的一个过程。
[00:00:39] 如果说负极化只能是一个过程的话,你再去读这个去极化、超极化上节课强调,
[00:00:46] 这样的概念,实际上既能描述一个过程,也能描述一种状态。
[00:00:51] 这句话什么意思啊,咱们在大二时候刚刚开始学生理学电生理,
[00:00:56] 这种概念是觉得特别绕口的,就是说,你给人强调这个东西干嘛,
[00:01:01] 你下来看一个试试,你看这个图,这是一个标准的生理学教材,
[00:01:08] 不是标准教材。
[00:01:09] 这几十年我印象中从第二版生理学开始,到第九版的本科教材,
[00:01:14] 这个图一直没有变,这是一个经典的电生理学的一个模式图。
[00:01:19] 下面是一个它的动作电位的一个叫示意图,
[00:01:24] 慢慢的这一阶内往后许,就发现动作电位是两个过程或者部分构成的,
[00:01:30] 一个叫封电位,一个叫后电位,这个内容一会儿再学习,动作电位再学习。
[00:01:35] 这让咱们看一个话题,说刚才谈去极化,
[00:01:39] 既可以是一个拿来描述一个过程,你比如说,这个神经感,
[00:01:44] 它的进气电位负七十毫伏,接受一个适当刺激以后,
[00:01:49] 摸电位逐步逐步从负七十,你看这个也负六十,负五十,是把零最后正二十,正三十,正五十,
[00:01:55] 绝对是变小的过程,叫区计化,所以区计化可以描述一个过程。
[00:02:01] 但也能描述一个状态,你比如说,我随便在这个负五十毫伏这画个虚线过来,
[00:02:07] 在这个图的上升值找一个虚线,
[00:02:10] 找一个点,负五十,这个地方我该怎么,比如说,
[00:02:13] 我跟人说这是,去极化过程中的,去极化状态,
[00:02:18] 因为在这个点上,现在摸电位只有五十个毫伏绝对值,
[00:02:22] 它们进行电位七十毫伏绝对值要小,所以去极化状态,什么时候发生的,
[00:02:27] 去极化过程发生的,反过来,摸去极化结束以后开始负极化,
[00:02:33] 那么负极化到这个地方,你发现,也有一个负五十,这我该怎么样个人说,
[00:02:39] 这就叫做,
[00:02:40] 负极化过程中的,去极化状态,
[00:02:43] 说这我没听懂,你再往下看,继续负极化,哎,这个点头所指,负后电位,再往后面走,正后电位,
[00:02:50] 为什么叫负后,为什么叫正后,一会儿咱们要专门讲,这是电视力学的内容,要专门讲,
[00:02:56] 这咱们只是看一个名字,比如说,咱们用正后电位这四个字,这个黑点头所指这个位置,
[00:03:03] 这个地方你该怎么来跟人说,这叫负极化过程中的,超极化状态,
[00:03:09] 你听这样一句话,
[00:03:11] 正后电位,就指细胞膜动作电位过程中,
[00:03:14] 后电位部分里边,超极化的,哪一部分,那么超极化的这一部分,正后电位,你发现,每一个点膜的电位绝对值,
[00:03:24] 都比进气电位这个虚线,要更大一点,
[00:03:28] 所以慢慢这一阶内,往后学就发现,这个进气电位,和一会儿在动作电位谈一刺的,预电位,
[00:03:35] 它们之间有个差距,你比如说,我们一般认为一个细胞膜的预电位,绝对值啊,
[00:03:41] 比进气电位就要小个10到20个毫伏,比方说,通常理解,就是小20毫伏,
[00:03:48] 以这个细胞为例,进气电位是-70毫伏,那么所谓预电位就是-50毫伏,它两者之间差20个毫伏,
[00:03:56] 设想一下,你看示意图,现在如果在正后电位部分的话,任何一个点,到-50毫伏,都比-70到-50,距离要远一点,
[00:04:06] 慢慢在这找一个概念,正后电位的过程中,细胞膜的形成性,
[00:04:11] 正后电位的过程中,细胞膜的形成性,
[00:04:11] 比平时要低,我们叫低长期,所以说想想,作为老师有时候讲一句话说,
[00:04:18] 输到用时方很少,说你去谈这么个进气电位,你给人讲一个去计划,复计划,超计划就完了,
[00:04:24] 一会儿又是过程,一会儿又是状态,你这干嘛呀,这不吃饱撑的,不,我们每个词都有用,
[00:04:32] 早期学习一定把基础打牢,因为慢慢的到了大三大四甚至大五的时候,你重新听生理学,
[00:04:40] 我还给同学们讲,说实际上,
[00:04:41] 那个时候你才发现,你在大二的时候,欠的每一个知识,大四大五走不动了,
[00:04:47] 我喜欢这样说句话,要不是为了学心肌的电生理,我干嘛要学电生理呀,
[00:04:55] 要不是为了研究临床上极其复杂的心电图,心理失常这样复杂的临床心脏病的问题,
[00:05:02] 那我干嘛学习心肌电生理呀,所以咱们这个医学课程,
[00:05:06] 有些同学不太注意,你年龄小,一定注意,你打医学过的解剖,再打二用,
[00:05:12] 生理呀,组培,那么打二学完生理组培和解剖以后,
[00:05:16] 打三开始学药理,病理,病生,开始用,你再把之前学课全部学完之后,
[00:05:22] 再往上升一个年纪,大四,学诊断,有些同学打三下半年学诊断了,
[00:05:28] 外走,再往后面走,学内科,外科,复考,二科等等,
[00:05:32] 到内科学的时候,你需要用哪些课程,用药理学,用生理学,用病生学,用诊断学,用免疫学,用组培学,甚至还用解剖学,
[00:05:42] 你大学里边切的每一门课,到内科学算总账,所以我总讲一句话说,出来混,早晚要缓淡,
[00:05:50] 慢慢你就懂了,不管他了,这再强调一次,去计划这样一个词,就像咱们文字上所描述一样,
[00:05:57] 去计划这样一个词,既能描述是细胞膜进系列位减小的过程,也能描述是一种状态,
[00:06:08] 而复计划一般只能拿来描述是一个过程,
[00:06:12] 没有结果复计划状态,只能是复计划的过程,
[00:06:16] 去计划拉成以后,膜点位向进系列位恢复的过程,叫复计划,
[00:06:21] 复计划的过程中,既有去计划的状态或者阶段,也有超计划的状态或者阶段,
[00:06:28] 你看,就像诗意图所述,整个这一段都是复计划的过程,
[00:06:32] 这个过程中,你像这一块就是去计划状态的,但这一块就成超计划状态,
[00:06:38] 你体会这个词,所以整个的学科学习,不光是医学,
[00:06:42] 农林牧医,你不光学哪个学科,最后你发现实际上,
[00:06:46] 你不过是在努力学习,用你一个专业的术,
[00:06:52] 在描述一个专业问题,专业术的积累,
[00:06:56] 所以好多学生不太重视这种名词解释的这样一个东西,
[00:07:00] 是我们一个叫做概念,conception,
[00:07:04] 哲学上一直讲一句话说,从来不存在概念之概念,
[00:07:09] 这门课这一次我是下决心给同学们从头到尾录一遍了,
[00:07:12] 所以录到后面慢慢录,
[00:07:13] 如果要看的具体案例,我得给你讲点哲学,
[00:07:16] 所以老师为啥我读书就读不下,听课能听懂,
[00:07:19] 打开教材读不下去,因为写教材的老师是本行业的,
[00:07:24] 或者本领域的一些大老大咖级的人,
[00:07:27] 他把护和运用语言文字的能力远远超过学生本身,
[00:07:34] 所以实际上你在读专业课的时候,
[00:07:36] 一个是领悟或者理解专业内容本身,
[00:07:40] 第二个你还得学会用专业术语,
[00:07:43] 用专业的方法来描述一个专业问题,
[00:07:46] 他还有一个听说读写的问题,
[00:07:48] 有时候咱们意识不到,
[00:07:49] 所以有时候作为老师给大四大五同学讲课更多,
[00:07:53] 讲课的时候你发现,
[00:07:54] 他有时候我开拿小说听不懂人话,
[00:07:57] 看电视就能看得到,
[00:07:59] 你讲专业课他就说什么呀,
[00:08:01] 什么动作在那呀,
[00:08:02] 他这样听不下去,
[00:08:04] 不管他了,
[00:08:05] 反正第一次学习我讲的慢一点,
[00:08:08] 你慢慢听,
[00:08:10] 咱们在这一阶在正式的开始学心机,
[00:08:14] 或者不扯,
[00:08:15] 不叫,
[00:08:15] 叫细胞的电视里的具体内容,
[00:08:17] 电视里学这一课,
[00:08:19] 咱们学两个基本的这个模块或者知识体系,
[00:08:23] 一个叫静气电位,
[00:08:24] 这里我们需要解决两个问题,
[00:08:26] 哪两个问题呀,
[00:08:27] 在这一节一开始你看到了,
[00:08:29] 静气电位总是负的多少号伏,
[00:08:31] 咱们给了个解释,
[00:08:32] 因为用的是细胞内积录方法,
[00:08:34] 第二个你看谷歌基细胞静气电位就负90号伏,
[00:08:38] 神经细胞静气电位就是负70号伏,
[00:08:40] 所以显然这一节我们得研究一个话题,
[00:08:44] 开个玩笑说,
[00:08:45] 都是个,
[00:08:45] 静气电位差别怎么那么大呢?
[00:08:48] 有人负90号伏,
[00:08:49] 有人就负70,
[00:08:50] 有人就负50,
[00:08:52] 所以我们这解决两个问题,
[00:08:54] 一,静气电位是怎么产生的?
[00:08:56] 二,为什么不同的细胞静气电位绝对是大小不一样?
[00:09:01] 这两个必须解决,
[00:09:03] 那么一百多年以来,
[00:09:04] 差不多1900年前后呀,
[00:09:06] 有个这个电活动的发生,
[00:09:08] 当时提出一个说法,
[00:09:10] 所谓的摩的,
[00:09:11] 离子流学说,
[00:09:12] 咱们九版教材也好,
[00:09:14] 八年三版教材也好,
[00:09:15] 在这里,
[00:09:15] 这一块呀,
[00:09:16] 齐齐顺老师在写这一块东西,
[00:09:17] 他们又在专门把人子写进去,
[00:09:19] 写进去好不好,
[00:09:20] 这得包括所谓好坏,
[00:09:22] 但是你要知道,
[00:09:23] 近系列的形成所谓的摩离子流学说,
[00:09:26] 也叫摩学说,
[00:09:27] 包含两个基本点,
[00:09:30] 第一个,
[00:09:30] 就是在细胞膜两侧,
[00:09:32] 存在离子的浓度差,
[00:09:35] 摩内甲浓度是摩外的30倍,
