行号	误识	纠正为	置信度	原句
6	拔线轴	靶腺轴	high	你比如说整个这一章贯穿始终的一个内容是所谓的复返规,三条拔线轴,四个促激素。
8	显垂体	腺垂体	high	第二个你有一个下丘脑和显垂体的这么一个,或者叫下丘脑和垂体。
41	皮质从	皮质酮	medium	皮质从结构上,它有三层,所谓的球状、树状、网络带。
153	全骨酮	醛固酮	high	全骨酮,
190	非结合	肺结核	high	以及非结合的代谢物,
194	全骨酮	醛固酮	high	因为全骨酮咱们从胸环系统,
197	全骨酮	醛固酮	high	全骨酮系统,
201	全骨酮	醛固酮	high	有一个全骨酮敏感的纳通道,
210	全骨酮	醛固酮	high	后半段的话就叫全骨酮敏感纳通道了,
216	消管液	小管液	high	造成消管液产生变差,
223	全骨酮	醛固酮	high	学完肾脏生理学的全骨酮以后,
226	保甲利尿剂	保钾利尿剂	high	叫做保甲利尿剂,
230	全骨酮	醛固酮	high	实际上本质上还是一个全骨酮敏感纳通道的物品,
232	全骨酮	醛固酮	high	又忘了全骨酮了,
236	全骨酮	醛固酮	high	对于全骨酮产生比较少,
256	二茬分胺	儿茶酚胺	high	所以它对于二茬分胺,
281	全骨酮	醛固酮	high	你说全骨酮生糖,
283	全骨酮	醛固酮	high	全骨酮叫盐皮质激素,
288	全骨酮	醛固酮	high	全骨酮生糖不,
402	肤激素	促激素	medium	说看了看这个皮肤激素功能不够,
446	感应化	肝硬化	high	包括内科学的感应化,
570	批制功	皮质酮	medium	所以在批制功能低下的时候,
575	批制功	皮质酮	medium	批制功能抗净的叫苦心,
580	批制功	皮质酮	medium	那么批制功能低下的叫爱滴生病,
769	二叉分胺	儿茶酚胺	high	对二叉分胺的允许作用,
913	胶感神经	交感神经	high	你会发现胶感神经,
914	胶感神经	交感神经	high	和胶感神经的肾上腺,
925	胶感神经	交感神经	high	那么胶感神经一行风,
927	胶感神经	交感神经	high	胶感神经莫少注意释放去甲生,
938	胶感神经	交感神经	high	一个是通过胶感神经和肾上腺随之,
1207	圈骨筒	醛固酮	high	圈骨筒通过调节盐,
1209	圈骨筒	醛固酮	high	所以圈骨筒增多的时候,
1223	圈骨筒	醛固酮	high	加上圈骨筒又不够,
1270	解抗作用	拮抗作用	high	它俩是有解抗作用的,
1278	脾脂功	皮质酮	medium	甲胀血功能和脾脂功能,
1283	糖脾脂激素	糖皮质激素	high	所以糖脾脂激素在应激反应里边的作用,
1303	糖脾脂激素	糖皮质激素	high	所以除了糖脾脂激素作用之外,
1306	糖脾脂激素	糖皮质激素	high	就是有关糖脾脂激素的蜂蜜条件,
1309	糖脾脂激素	糖皮质激素	high	有关糖脾脂激素的蜂蜜条件,
1320	糖脾脂激素	糖皮质激素	high	实际上应该叫做醋肾上血糖脾脂激素,
1326	盐脾脂激素	盐皮质激素	high	就有盐脾脂激素,
1327	糖脾脂激素	糖皮质激素	high	还有糖脾脂激素,
1328	脾脂醇	皮质醇	high	脾脂醇,
1370	雌基素	雌激素	high	男性体内有少量的雌基素,
1372	雌基素	雌激素	high	结果发现男性体内的雌基素,
1376	雌基素	雌激素	high	男性体内的雌基素是雄基素代谢来的,
1381	雌基素	雌激素	high	加上它也会代谢你雌基素,
1391	雌基素	雌激素	high	雌基素,
1393	孕肌素	孕激素	high	保护孕肌素,
1394	乳肌素	促激素	medium	雌乳肌素,
1403	雌基素	雌激素	high	还有雌基素吗?
1408	雌基素	雌激素	high	雄基素有个转化为雌基素,
1411	雌基素	雌激素	high	它的雌基素,
1433	雌基素	雌激素	high	卵巢不蜂蜜雌基素了,
1435	雌基素	雌激素	high	它还会转化成蜂蜜雌基素,
1439	雌基素	雌激素	high	雄基素要转化为雌基素的话,
1479	次激素	雌激素	high	你发现为了对抗体内次激素的这个情况,
1485	次激素	雌激素	high	次激素有两个来源,
1533	皮质纯	皮质醇	high	皮质纯,
1535	皮质同	皮质酮	high	少量皮质同,
1548	屎上核	视上核	high	屎上核,
1561	屎上核	视上核	high	主要来自于屎上核,
1562	屎上核	视上核	high	屎上核和屎膀核,
1570	屎上核	视上核	high	一个屎上核,
1693	机制统	皮质酮	medium	ACTH作用的机制统一,
1706	复反馈	负反馈	high	它主要是有效性的复反馈了,
1708	复反馈	负反馈	high	有复反馈的调节作用,
1710	复反馈	负反馈	high	由于复反馈存在,
1747	复反馈	负反馈	high	由下而上复反馈,
1901	性性分	性兴奋	high	交感人性性分,
1936	结抗剂	拮抗剂	high	如果拿它和一个钙结抗剂,
