行号	误识	纠正为	置信度	原句
4	自理性	自律性	medium	好同学们,咱们接下来专门看一下这个心肌细胞的电生的血特性,所谓的信奉性、传导性和自理性。
8	摸电位	膜电位	high	然后你又发现实际上摸电位变化的时候,这个IQ1通道大小是会变化的。
31	动作点位	动作电位	high	那么既然这样的话,一个细胞模性负性高低,前面咱们也学过,我看看像让细胞产生动作点位的话,要产生一个动作点位,那么它需要的刺激强度大还是小?
31	动作点位	动作电位	high	那么既然这样的话,一个细胞模性负性高低,前面咱们也学过,我看看像让细胞产生动作点位的话,要产生一个动作点位,那么它需要的刺激强度大还是小?
37	模电位	膜电位	high	因为你知道,非自律细胞,它的模电位不接受原来的刺激,是很稳定的进气电位。
38	趋激化	去极化	high	最大负气电位,刚才专门讲,自律细胞它的进气电位就不稳定,它不需要额外刺激,它老是很自觉的,自动的就发生趋激化。
42	预电位	阈电位	high	它是一个细胞模,与预电位的差距。
45	趋激化	去极化	high	一个细胞模,趋激化的时候,离预电位更近,那么信奉性更高。
45	预电位	阈电位	high	一个细胞模,趋激化的时候,离预电位更近,那么信奉性更高。
46	超激化	超极化	high	超激化的时候,离预电位更远,信奉性就低。
46	预电位	阈电位	high	超激化的时候,离预电位更远,信奉性就低。
47	趋激化	去极化	high	你还记不记得,负后电位,正后电位,后趋激化,后超激化,超长期,低长期,这些概念。
47	后超激化	后超极化	high	你还记不记得,负后电位,正后电位,后趋激化,后超激化,超长期,低长期,这些概念。
47	超长期	超常期	high	你还记不记得,负后电位,正后电位,后趋激化,后超激化,超长期,低长期,这些概念。
47	低长期	低常期	high	你还记不记得,负后电位,正后电位,后趋激化,后超激化,超长期,低长期,这些概念。
48	生物点	生物电	high	所以第二张细胞生物点学完之后,到第四张,现实模。
52	预电位	阈电位	high	就是当前模的电位呀,和它的预电位之间的一个差距。
55	模电位	膜电位	high	我就看看这个模电位和预电位差距,大还是小。
55	预电位	阈电位	high	我就看看这个模电位和预电位差距,大还是小。
67	曲极化	去极化	high	设想高加血症是会让细胞冒发生曲极化的。
68	曲极化	去极化	high	那么在曲极化的情况下,
73	曲极化	去极化	high	你设想一下,膜外加浓度越高,那么甲烈子的外流就越少,膜就不断曲极化,曲极化,曲极化。
73	曲极化	去极化	high	你设想一下,膜外加浓度越高,那么甲烈子的外流就越少,膜就不断曲极化,曲极化,曲极化。
73	曲极化	去极化	high	你设想一下,膜外加浓度越高,那么甲烈子的外流就越少,膜就不断曲极化,曲极化,曲极化。
83	曲极化	去极化	high	发现细胞膜在发生缓慢曲极化的时候,心肌细胞膜还是个DM孔大通道。
84	曲极化	去极化	high	那么DM孔大通道干嘛的,是心肌细胞将来产生零期曲极化的那个结构基础。
85	曲极化	去极化	high	那通道在细胞膜缓慢的曲极化过程中,可以不经过激活,直接进入失火状态。
120	神经调解	神经调节	high	嗯,弥子流神经,对于心肌细胞的信奉性,咱们放到《循环系统》这一章呀,叫《心脏的神经调解》。
122	摸点位	膜电位	high	嗯,这是第一个摸点位和预点位差距。
122	预点位	阈电位	high	嗯,这是第一个摸点位和预点位差距。
123	预点位	阈电位	high	第二个预点位水平。
124	预点位	阈电位	high	一般咱们认为预点位就比细胞摸进去点位呀,它绝对只是小个10到20毫伏。
124	比细胞	壁细胞	high	一般咱们认为预点位就比细胞摸进去点位呀,它绝对只是小个10到20毫伏。
125	预点位	阈电位	high	所以从理论上说,预点位一般是不太容易发生改变的。
126	预点位	阈电位	high	但是在使用药物之后,预点位就可以变化。
155	预电位	阈电位	high	那么让预电位上语。
159	预电位	阈电位	high	咱们这样说,你说预电位是什么东西。
161	预电位	阈电位	high	预电位,是想让细胞膜产生动作电位的时候,膜上需要开放的那个钠通道的数量。
167	预电位	阈电位	high	所以你怎么刺激,也倒不得预电位。
187	预强度	阈强度	high	预强度增大了,所以兴奋性降低。
188	区计划	去极化	high	第三个是07区计划离子通道的性状。
218	复即化	复极化	high	复即化的复。
221	预点位	阈电位	high	所以刚才讲的一个影响信奉性的因素,主要是摩底位和预点位的差距。
228	预点位	阈电位	high	还有没有影响信奉性的因素和预点位的因素?
245	去异化	去极化	medium	你知道,电压膜后囊囊打开之后,那通过通道去异化扩散。
246	异化扩散	易化扩散	high	通道异化扩散,让膜产生区域化的。
307	超长期	超常期	high	超长期。
308	低长期	低常期	high	低长期。
314	超长期	超常期	high	超长期。
316	低长期	低常期	high	没有低长期。
317	低长期	低常期	high	低长期那个正后电位去哪里了?
319	纳甲泵	钠钾泵	high	口误,纳甲泵,那个升电线作用的那个电流,
326	超长期	超常期	high	超长期我熟悉。
396	区计划	去极化	high	从这个区计划开始,到摩底维复计划到-55号幅这一段,绝对不硬。
396	复计划	复极化	high	从这个区计划开始,到摩底维复计划到-55号幅这一段,绝对不硬。
400	复计划	复极化	high	对了,实际上在心肌细胞膜复计划到-55号幅的时候,
422	摩天位	膜电位	medium	把摩天位放到-55到-60,
425	预刺激	阈刺激	high	这个时候,你给它预刺激,它是兴奋不了的。
427	预刺激	阈刺激	high	大比方预刺激10毫伏,
440	收缩偶连	收缩耦联	high	才发生兴奋和收缩偶连的。
460	生理确	生理学	medium	生理确诊更加强调,
477	复计化	复极化	high	就是纳内流甲胎的虚线好复计化的。
557	复机化	复极化	high	因为都是没有完全复机化。
