# 源音频：P58-生理学本科教学及考研基础课 p58 神经系统9-牵张反射.m4a
# 时长：2422s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 嗯,好,同学们,咱们接着往下看啊。
[00:00:13] 要这张课件你要读得比较仔细的话,你会发现一个很有意思的事情,什么事情你发现?
[00:00:18] 实际上,颈髓损伤的时候呀,高位颈髓损伤,腹式,就是胳肌和腹肌的呼吸机全部瘫痪,没有呼吸。
[00:00:28] 但是要是低位颈髓损伤的时候,低位下颈髓损伤,C5678这个地方,它把支配隔肌的C4绕过去没有损伤到,那么这个时候患者出现肩部以下的四肢痰。
[00:00:40] 所以这个时候只损失谁啊?胸式呼吸,但是隔肌活动是存在的。
[00:00:45] 所以这样你发现了没有?高位颈髓损伤,没呼吸,低位颈髓损伤,没有胸式呼吸。
[00:00:53] 所以为什么讲,一直讲一句话说,只说主语,不说定语,就同样耍流氓。
[00:00:58] 你仔细读一读外科学上,你要判断一个临床现象,这个多细腻。
[00:01:02] 以往讲神经系统没有讲过这么细,这一次为什么讲那么细啊?
[00:01:06] 因为实际上啊,我的学生们学好多年生理学了。
[00:01:09] 一说神经生理学,他连基底神经节,帕金森定,亨廷顿,别说是细节,连名字都不懂。
[00:01:16] 有时候作为老师哭笑不得,我不说每个同学啊。
[00:01:20] 所以你一边看着微博,微信,B站上通讯网报喜,这个考了433,那个考了436,那个418,这个409,光399的没到四字头的,就一打呼骗,再把一七再把。
[00:01:36] 作为老师一定不是说老师都喜欢好的学生,不是。
[00:01:39] 到了高等教育,大学之后,你能发现,限于各种各样不同条件,学校的硬件,哪些设备,同学的文化素养,家庭背景,甚至包括家庭出身,出身这个词不好讲,因为知道天天天经一个老师讲了这么个出身,些过去不管对不对,网上好像掀起了一面倒的一个思潮。
[00:02:00] 作为老师,从良心角度,这句话很谨慎啊,有很大风险,但我还是要讲一下,作为老师最心痛的是什么?
[00:02:09] 反而,将来条件好点的孩子,在老师眼中看,我觉得更多的,更努力。
[00:02:16] 我没有说,因为我是农村的孩子,农民的孩子,我没有说出生的问题,但是作为老师最心疼的是,可能是限于生活压力,急需工作,这么一个迫切需求吧。
[00:02:28] 所以世界上有时候表现出来,反而是,我们普通像我这样一个农民家庭算领先嘛,一个普通家庭的孩子反而有时候把教育,把继续教育的这种认知程度,
[00:02:40] 没有放到足够高的高度。
[00:02:42] 学习恐怕是现在社会唯一能够打破一个所谓阶级的壁垒,通向自由的唯一的一个社会国家,一个公平的通路。
[00:02:52] 反正作为老师,我想最良心讲一句话,受教育是没错的,读书是没错的,因为这是个敏感的时代,好多好不合适。
[00:03:01] 所以我们这一次讲课的时候,神经圣灵学我讲的比较细,我就希望,反正是录课,我也不担心说是你讲课时间长,是不是没有骗人课的。
[00:03:08] 免费课,我免费录制,我也不收拾的费,我讲细腻的,不会犯错误。
[00:03:15] 也正是你们这万一听了有问题,你反过去多听,反正是永远免费的。
[00:03:20] 我们把免费精心到底,大力发展我们的生理文化,大力反着发展我们的医学文化,我想这个是没错的。
[00:03:28] 行了,刚才通过上一章课里讲了一个说,只说呼吸,不准熏食腐尸,就通过耍流氓。
[00:03:35] 所以呼吸生理学你还记得,咱们讲这个,
[00:03:38] 腹是呼吸,胸是呼吸,男性是以腹是呼吸为主,女性是胸是呼吸。
[00:03:44] 你要非要把它对应到这个唱歌歌舞比赛上讲的话,头腔发生,体腔发生。
[00:03:50] 甚至我讲课说,吹口琴的时候,是船颤猴颤,或者是虎颤,那个颤音,蛇颤音,它得有很多讲究。
[00:04:01] 热喘是呼吸,人就是这样,它通过深入的学习,严谨的思考呀。
[00:04:07] 慢慢慢慢在我们一个很色彩单调的一个平淡的世界中,就这样通过慢慢系统的学习,建立一个立体构架,构建一个属于我自己的一个世界。
[00:04:21] 所以我真的想我的学生听懂它。
[00:04:23] 如果没有生物学习,没有那么大的一个心境,一个内心的世界,世界再大,干我屁事呀。
[00:04:31] 我的心有多大,我的世界才能有多大。
[00:04:35] 对了。
[00:04:36] 世界是共享的。
