行号	疑似误识	建议术语	原句
6	复返规	负反馈	你比如说整个这一章贯穿始终的一个内容是所谓的复返规,三条拔线轴,四个促激素。
13	复返规	负反馈	甚至包括一个甲状腺术后补不补甲状腺素,围绕着复返规的这种概念。
21	氢化可提松	氢化可的松	什么氢化可提松,
28	复返会	负反馈	一种是你突然停药之后,由于复返会的作用,
46	氢化可提松	氢化可的松	树状带主要分泌的是糖皮质激素,因氢化可提松微代表的皮质醇,也有少量皮质酮。
61	氢化可提松	氢化可的松	它实际上还是来自于树状带为主,原型是氢化可提松。
64	氢化可提松	氢化可的松	什么氢化可提松,波尼松,甲波尼龙,包括第三米松,
68	氢化可提松	氢化可的松	我们先学习,强调氢化可提松是原型,
77	氢化可提松	氢化可的松	有氢化可提松,有第三米松,
79	氢化可提松	氢化可的松	咱们在治疗甲康微向用的一般都是氢化可提松,
81	氢化可提松	氢化可的松	因为氢化可提松是原型,
84	氢化可提松	氢化可的松	氢化可提松简称氢考,
94	氢化可提松	氢化可的松	应该是第三米松通胀剂量是氢化可提松的6倍,
97	氢化可提松	氢化可的松	但是它需要到体内进一步转化成氢化可提松,
101	氢化可提松	氢化可的松	甲康微向的激素冲击用的是原型氢化可提松氢考,
105	氢化可提松	氢化可的松	氢化可提松这样一个词,
130	蛋白叫	蛋白尿	皮质内固醇结合去的蛋白叫CBG,
215	负点位	阈电位	留下氯的这么一个负点位,
241	氢化可提松	氢化可的松	氢化可提松,
242	氢化可提松	氢化可的松	氢化可提松对于三大物质代系,
291	盐激素	孕激素	叫水盐激素,
358	视图几	树突棘	这个视图几十年没有变过,
558	胃蛋白胃	胃蛋白酶	糖皮质激素会促进胃酸和胃蛋白胃的分泌,
564	热剂负	热习服	用激素去这个套热剂负重特别大,
653	皮肌素	雌激素	给他适当补一点糖皮肌素,
672	感觉舒	感觉柱	今天感觉舒服点没有,
762	怀基胎	缓激肽	怀基胎,
806	去皮质	去抑制	食上去皮质功能,
828	去皮质	去抑制	食上去皮质轴,
1283	脾脂激素	抑制激素	所以糖脾脂激素在应激反应里边的作用,
1292	脾脂激素	抑制激素	脾脂激素的作用广泛而复杂,
1303	脾脂激素	抑制激素	所以除了糖脾脂激素作用之外,
1306	脾脂激素	抑制激素	就是有关糖脾脂激素的蜂蜜条件,
1309	脾脂激素	抑制激素	有关糖脾脂激素的蜂蜜条件,
1320	脾脂激素	抑制激素	实际上应该叫做醋肾上血糖脾脂激素,
1325	全五统	醛固酮	有全五统,
1326	脾脂激素	抑制激素	就有盐脾脂激素,
1327	脾脂激素	抑制激素	还有糖脾脂激素,
1333	去刺激	阈刺激	ACTH主要是去刺激糖脾激素分离增加的,
1333	脾激素	雌激素	ACTH主要是去刺激糖脾激素分离增加的,
1363	皮肌素	雌激素	叫做促肾上线糖皮肌素,
1388	性基素	凝集素	女性的性基素,
1395	性基素	凝集素	性基素,
1546	屎膀核	室旁核	ADH主要来自于屎膀核,
1549	屎膀核	室旁核	屎膀核,
1558	屎膀核	室旁核	所以ADH来自于屎膀核,
1562	屎膀核	室旁核	屎上核和屎膀核,
1571	屎膀核	室旁核	一个屎膀核,
1574	屎膀核	室旁核	屎膀核如果分泌ADH的话,
1609	复返回	负反馈	也具有复返回调节,
1612	己调节	肌小节	这是下去脑对下去脑自己调节,
1614	生反馈	正反馈	血出体如果对下去脑产生反馈了,
1617	生反馈	正反馈	对于血出体和下去脑产生反馈,
1646	脂肪激素	释放激素	脂肪激素,
1655	皮质塑	抑制素	来促进糖皮质塑合成,
1685	负反规	负反馈	也具有负反规格,
1704	皮激素	雌激素	就糖皮激素的作用,
1707	皮激素	雌激素	糖皮激素对下丘脑和血液体,
1709	皮激素	雌激素	长期大剂量使用糖皮激素的时候,
1724	皮激素	雌激素	知道为什么大剂量使用糖皮激素,
2030	收缩它	收缩压	去压生就是收缩它不一样,
2106	皮激素	雌激素	为什么长期大家使用糖皮激素,
