行号	疑似误识	建议术语	原句
102	机械堵	机械阈	总而言之就是一个机械堵塞,
333	抗泌尿基素	抗利尿激素	引发的抗泌尿基素水平改变,
334	水泥尿	水利尿	水泥尿,
337	己分泌	自分泌	自己分泌对于胃液分泌这么一个复杂的现象,
361	释放核	室旁核	还是干脆释上释放核,
741	沙上河	视上核	这包括石脚沙上河呀,
878	皮质用	皮质酮	外围性糖皮质用完之后,
901	到内分泌	胞内分泌	学到内分泌的时候,
923	气激素	雌激素	促甲烈气激素释放激素,
927	气激素	雌激素	促甲烈气激素,
988	去皮质	去抑制	STH去上去皮质了,
1172	感觉习惯	感觉器官	你还记得感觉习惯这不哥们讲过,
1279	理激素	雌激素	生长激素和生理激素也可以刺激到素分明,
1433	八细胞	壁细胞	它的八细胞的时候,
1455	八细胞	壁细胞	那条八细胞,
1548	蜜激素	雌激素	蜜激素,
1584	复返归	负反馈	又具有一个复返归结抗,
1619	蜜激素	雌激素	刺蜜激素,
1640	复返回	负反馈	可以通过复返回抑制作用,
1646	复返回	负反馈	产生复返回抑制,
1692	发现周	靶腺轴	你就会发现周围同学有时候,
1765	复返会	负反馈	它是要通过复返会,
1793	运气素	孕激素	并维持运气素的分泌,
1797	蜜激素	雌激素	一个是促进这个黄体的刺蜜激素合成分泌,
1823	力转移	氯转移	是注意力转移了,
2027	释糖核	室旁核	所以释糖核主要合成CAN1H,
2028	释糖核	室旁核	释糖核主要合成塑胱素,
2142	抗泥尿激素	抗利尿激素	抗泥尿激素,
2162	命激素	凝集素	来自于下强道市场18号的两个经典的生命激素,
