行号	疑似误识	建议术语	原句
11	心路市场	心律失常	所以同学们一说神经系统,觉得难难难,特别难,好像几乎所有的医学生,整段学医术就是心裂图难,内科学医术就是心路市场难,那么生理学医术就是神经生理学难。
41	呼吸障	呼吸商	一个人心功能不好,他是会憋气的,会呼吸障碍。
185	机动系	激动剂	脊髓,球脑,脑干的网络上心机动系统,
360	去激活	去极化	去激活,
366	谁听到	水通道	不行你谁听到谁打到字幕上,
385	重白点位	终板电位	重白点位,
441	去刺激	阈刺激	去刺激前面就是那个中枢端,
529	去刺激	阈刺激	去刺激胃头部的G细胞,
559	高中书	饱中枢	说下丘脑是内脏活动最高中书,
594	去刺激	阈刺激	去刺激胃抖部的基因细胞,
672	力紧张	肌紧张	那么这个压力紧张性的这种影响,
949	中板变位	终板电位	产生中板变位,
958	机动系	激动剂	包括脑干的网络上音机动系统,
1027	中盘膜	终板膜	在中盘膜上,
1041	中盘膜	终板膜	长在中盘膜上,
1530	呼吸手	骨吸收	还带走呼吸手那种纠结劲儿呀,
1786	始复习	施呼吸	咱们再开始复习,
2140	神经移植	神经递质	氨基酸类的神经移植,
2210	代白基酶	蛋白激酶	叫AC依赖的代白基酶,
2211	代白基酶	蛋白激酶	和PLC依赖的代白基酶,
2233	超气化	超极化	而产生一个神经元细胞膜的超气化,
2273	谁听到	水通道	谁听到的话,
2541	放电位	锋电位	大脑皮层放电位置不一样,
2711	连接再	连接肽	通过突触连接再传出
