# 源音频：P55-生理学本科教学及考研基础课 p55 神经系统6-感觉传入.m4a
# 时长：2857s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:09] 好同学们,刚才咱们学了一下中数据的突出后意志,包括传入测试意志和回反式意志。
[00:00:17] 所以一直在想,整个的我们国家的应该说职业教育吧,从中等的一个职业中学,到各种职业学院、职业技术学校,到专科,随便什么考试中有专升本,我还在合比那边喜欢叫专接本。
[00:00:34] 专科在专研本科,山东这边也挺多,山东这边每年我看这个医学类的参加专升本的学生就很多。
[00:00:42] 如果考研一站,考不走,可以二站三站,专升本只有一次机会,然后就再也不能让你升了,只能以成人学历或者什么进行。
[00:00:51] 所以这是什么意思,就是说,然后到大本,然后到硕士,到博士。
[00:00:56] 实际上,在谈到神经系统,你不要在那边讲,你不要在那边感受这个事儿。
[00:01:01] 突出后意志在大二的时候,您知道有这么一个名。
[00:01:04] 那么为什么是意志,为什么是兴奋?
[00:01:08] 到底什么是EPSP,什么是RPSP?
[00:01:11] 可能好的院校,用心的学生,他就把这个实质看了一下。
[00:01:17] RPSP的话是一个绿粒子,突出后膜对绿粒子的变导突然增加以后,然后对内流发生一个超级化,达到意志效应的意志效果。
[00:01:28] 那么EPSP突出后膜的兴奋,往往是膜对钠的变导增加。
[00:01:33] 钠内流去减。
[00:01:34] 这个是一个绿粒子的变化,来实现的。
[00:01:36] 那么钠内流也好,绿内流也好,它这个具体的实现机制是什么?
[00:01:41] 是在突出后膜上找着一个化学门口的相关的通道。
[00:01:47] 那么兴奋性的突出,意志性突出,差别没有差在结构,差在地质。
[00:01:55] 突出后意志或者中枢意志,共同一个结构基础,需要一个意志性的神经元来解导。
[00:02:01] 那么这个神经元能释放一些意志性的地质。
[00:02:06] 所以就看到什么钙氨酸,天动氨酸,包括骨氨酸,还有钙麻吉丁酸,这样一些话题。
[00:02:15] 所以同样一个中枢意志四个字。
[00:02:18] 不同人学完之后看起来的风景是不一样的。
[00:02:22] 所以一边讲课一边在想,刚刚我世界上进来在自己书房入课之前,
[00:02:27] 还在网,毕竟还微博,还在读毕竟还一篇小说,小说《建来》。
[00:02:32] 所以《建来》去年就用了它一句话,用了一年。
[00:02:35] 就觉得作为老师,
[00:02:37] 讲起来很顺口。
[00:02:39] 对我自己来说正龙发盔。
[00:02:41] 教育的本质是什么?
[00:02:43] 是我以为原来是。
[00:02:47] 那么今天一读一句话说,我们读的书太少,见识太少。
[00:02:52] 我从来晚上吃完晚饭不到街上溜达去。
[00:02:55] 我就从来不知道晚上的风景那么美,
[00:02:58] 有那么多夜行人。
[00:02:59] 所以我早年讲课喜欢开个玩笑,
[00:03:01] 没事干,就书房就放了几十件乐器。
[00:03:04] 当然玩的太差,也不敢拿出楼梁。
[00:03:08] 你玩的高兴什么口琴呀?
[00:03:10] 笑呀?
[00:03:11] 笔子呀?
[00:03:11] 是吧?
[00:03:12] 红丝呀?
[00:03:14] 各种各样口琴,四五把,还镀金的,小号萨克斯南皇馆。
[00:03:19] 各种各样,吹萨克斯还经常说我吹萨克斯,
[00:03:22] 一出吹两首曲,好不好听都是这样吹的。
[00:03:25] 都是夜鬼人,可惜不是你。
[00:03:28] 夜路走多了,难免遇到鬼。
[00:03:31] 什么意思啊?
[00:03:31] 说实际上,正是你读的书少,见识太少。
[00:03:35] 所以有时候我瞎想,
[00:03:38] 不是想的太多,
[00:03:39] 就平时喜欢说叫杨将老先生说,
[00:03:41] 我们总是读的太少,
[00:03:44] 读的太少,想的又太多了。
[00:03:46] 所以读读接下来小说里边做点书,读的太少了以后,
[00:03:49] 容易想的浅。
[00:03:51] 你就体会中书意志四个字,你能想多深。
[00:03:54] 这四个字可以讲出八种不同的境界来,不是吗?
[00:03:59] 你再体会一下,中专,就中等职业专科学校,
[00:04:03] 大学者,叫大者,college,university,大学,大本。
[00:04:09] 硕士,master bigly,博士,dog bigly。
[00:04:13] 对同一个中书意志的理解是完全不一样的。
[00:04:16] 嗯,这个话我要说,因为中书意志是神经系统里边最核心的知识之一。
[00:04:21] 在生理学这几十年的教学生涯中,同学们一说老师一锅加价神经吧。
[00:04:25] 今年这个B站比较奇葩,
[00:04:27] 好久同学老师一锅加价,消化吸收和纳带吸味。
[00:04:30] 为什么老带这一节?
[00:04:32] 这个消化吸收和纳带吸味,我要讲,要讲是生理学已经讲到神经系统了,
[00:04:36] 这一章对大多数同学来说需求很大。
[00:04:39] 我只有一个人,我讲到哪是呢?
[00:04:41] 所以这样我把神经和内部秘讲完之后,
[00:04:43] 甚至有可能把生纸也讲完之后,
[00:04:45] 反过来这一本书在这个B站的本科教学系列中大概就差消化和纳带吸味。
[00:04:52] 我最后收尾的时候讲它,你也别太着急,这就过几天就讲完了。
[00:04:57] 是一边讲课一边再感受,就是我的学生在听课,老师在讲课,
[00:05:01] 你讲的内容他听见了没有?
[00:05:04] 他听见之后引起共鸣,那没有。
[00:05:08] 半国管有三条,外上后。
[00:05:11] 但是感受只有两类,感受水平方向的学者加速度,
[00:05:16] 以及时光面和怪光面,后上半国管。
[00:05:21] 所以晕船就是后上半国管同时过度受刺激造成的。
[00:05:27] 所以在微博上再提出这样的问题,一听就是自己读书读不懂。
[00:05:31] 那听课他还烦,他老背书,老快进。
[00:05:34] speed, speed, speed。
[00:05:36] 李克强总理都反复的倡导和警讯的建议,
[00:05:42] 我们的老百姓,这个民众,在这个时代,经济发展太快了。
[00:05:50] 说身体走得太快,停下来歇一歇,等一等我的灵魂。
[00:05:55] 这是总理的原话,科强总理的原话。
[00:05:57] 我想作为一个大国领导人都已经讲到这份上了,你还意识不到教育本身是什么吗?
[00:06:04] 教育本身是改变一个人,可能会表现为改变成绩,
[00:06:09] 但是对我们学习的那个字来说,成绩写的最无足轻重。
[00:06:13] 学好的自然有成绩了。
[00:06:17] 所以你这个课程是让我这个本科来复习的,还是来考研,
[00:06:20] 还是为了进一步,下一步学习药理学并升学哪个基础。
[00:06:24] 你管它是什么,但你知道诺贝尔医学奖的全称叫诺贝尔的生理学或医学奖,
[00:06:31] 你还理解不到生理学和医学是平行的呀。
[00:06:34] 它对所有的医者,甚至非医学专业的同学,都是同等重要的。
[00:06:39] 所以今天读了小说以后感受很深刻,
[00:06:42] 微博上B站回答了很多问题,
[00:06:44] 我得点荣誉,允许我矫情一下。
[00:06:46] 你试着听下去,中枢抑制死的字有多少种境界?
[00:06:52] 借此提高。
[00:06:53] 有传入侧直抑制的,趋击反射的那个发生机制。
[00:06:58] 又有回反抑制障碍的时候,破肠风,
[00:07:00] 筋软毒素,病人发生苦笑面容,
[00:07:04] 筋软性抽搐,把病人活活抽死。
[00:07:07] 你见过病人去读癌书讲课说,能抽的多厉害?
[00:07:10] 抽的病人因为大腿的肌肉强烈筋软性收缩,
[00:07:14] 造成自己自然的病。
[00:07:15] 自己的肌肉收缩把自己的咕咕干给拉骨折了,
[00:07:18] 那咕咕干平时小成果都转不断,
[00:07:21] 能转断咕咕筋,你转不断咕咕干,
[00:07:23] 不行你转转试试,那太结实了。
[00:07:26] 你想这个肌肉收缩有多大劲儿?
[00:07:28] 这么发生的,回反是抑制障碍。
[00:07:32] 有这么一个亮瞎我狗眼的,
[00:07:33] so surprised的这么一个example,一个案例,
[00:07:37] 我就想忘也忘不了,不是吗?
[00:07:40] 所以举例子,一个是让我把知识学的更通透,
[00:07:42] 第二个通过举例子的方式,
[00:07:44] 让我不经意,
[00:07:45] 先记住一个很灰色、很偏僻的专业数据,
[00:07:50] 所谓的学习,就是试着学会用专业数据描述专业问题。
[00:07:57] 所以实际上讲完吐吐后抑制以后,
[00:07:59] 中枢抑制记录就结束了。
[00:08:00] 为什么吐吐前抑制我搁这一篇呢?
[00:08:03] 就说后面咱们这是在这个地方打包整理一下就OK了。
[00:08:06] 吐吐前抑制咱们在这本书开始讲的时候,
[00:08:08] 很早就开始,在细胞内障就反复强调,
[00:08:12] 说不但是一切胆结有M和N两类不同受阻,
[00:08:14] 为什么两类不同的?
[00:08:16] 一类是基带外偶联的,一类是通道偶联。
[00:08:20] 实际上导播教材的吐吐前抑制,
[00:08:22] 咱们看到它的抑制性的地质,
[00:08:24] 甘蔓基丁酸,解成Gaba,
[00:08:26] Gaba ABC,三类不同的受体,
[00:08:29] 也是分类不一样的,A和C就是粗粒子型的通道偶联受体,
[00:08:34] 那么Gaba B就是粗带泻的。
[00:08:37] 粗粒子也好,粗带泻也好,什么叫吐出前抑制?
[00:08:40] 所以当时我借语言中央二台,
[00:08:42] 它从经济学方向问,
[00:08:44] 谁可以说,
[00:08:44] 谁可以发明这么个词,挺有意思,
[00:08:46] 说羊毛处在猪身上苟死了,
[00:08:49] 贷款买房的人没有破产,
[00:08:51] 从来不贷款买房,
[00:08:53] 在银行存款的人破产了,
[00:08:56] 一人买房全民负担,
[00:08:59] 多么哈皮的社会,一个时代,
[00:09:02] What a great time,
[00:09:04] 多么伟大的一个时代,
[00:09:07] 存款的人给贷款的人买单,
[00:09:11] 羊毛处在猪身上苟死了,
[00:09:13] 什么意思?
[00:09:13] 就是你要多动吐出前抑制这个图,
[00:09:15] 你要看明白,
[00:09:17] ABC三个神经元,
[00:09:19] 那么在这个事业图上,
[00:09:21] 它说这个所谓的吐出前抑制,
[00:09:22] 突出是谁?
[00:09:24] 突出俩字说的是A和C这个突出,
[00:09:26] A和C之间这个突出,
[00:09:28] 那么所谓突出前抑制就是什么?
[00:09:30] 就是A发生变化以后,
[00:09:32] C发生抑制效应,
[00:09:35] 不行你就在弹幕上把它标出来,
[00:09:37] 要不好多同学没有这份耐心,
[00:09:39] 就这个东西它都给你快进,
[00:09:41] 不是我逼死你快进,
[00:09:43] 你说你本来就无所事事,
[00:09:47] 傻一点,
[00:09:48] 这就是你这段时间,
[00:09:49] 就是非常无聊的读读小说,
[00:09:52] 听听音乐是吧,
[00:09:53] 等你老了都是夜归人,
[00:09:57] 听妈妈的话,
[00:09:59] 七里香,
[00:10:00] 东风破,
[00:10:02] 菊花台,
[00:10:02] 青花瓷,
[00:10:04] 就听这个歌曲都配素,
[00:10:07] 哎呀,
[00:10:08] 我笑话正好不收回,
[00:10:13] 我们都没有能力享受哪怕一秒钟宁静的内心的那个松弛用心的时光,
[00:10:21] 这个就是我说的,
[00:10:21] 有那么着急吗
[00:10:24] 印度人打过河的了吗
[00:10:27] 英雄团长不只挺你顶上吗
[00:10:31] 背锁
[00:10:35] 我的妈的
[00:10:37] 我就一想就好玩
[00:10:38] 他学了好几年了
[00:10:40] 你一问他这个ABC透过潜意志
[00:10:42] 是谁把谁意志从哪发生的
[00:10:43] 他不知道
[00:10:44] 我再说一遍
[00:10:45] 是A发生点小的变化以后
[00:10:47] C发生了意志
[00:10:49] 是这样的
[00:10:51] 那么A怎么就变化了
[00:10:53] 咱们发现在这一章就讲过了
[00:10:55] 因为有个结构
[00:10:56] 是B和A
[00:10:57] 产生了一个轴轴式的突出连接
[00:11:00] 这个A和B之间的突出连接
[00:11:03] 是两个轴突发生连接的
[00:11:05] 侧膜上
[00:11:05] B释放了点大麻吉丁酸
[00:11:08] A发生了点小变化
[00:11:10] 那么A发生什么变化了
[00:11:12] 教材画的实际图非常明朗
[00:11:14] 教材在317 318也很详细的文字
[00:11:16] 还解释着
[00:11:17] 是B和A之间发生一个
[00:11:20] 应该说是提前发生一个突出连接
[00:11:22] 换句话说
[00:11:24] A在向C传递信息之前
[00:11:26] A就发生
[00:11:27] 感觉
[00:11:27] 他改变了
[00:11:28] 非要让我借个词过来
[00:11:29] 我敢不敢说
[00:11:30] 前馈
[00:11:31] 我敢说
[00:11:32] 可以的
[00:11:33] 这个词搁这是可以的
[00:11:35] 前馈了
[00:11:35] A想C不对
[00:11:37] C刚睡醒
[00:11:38] 让他跑个800米跑不动
[00:11:40] 让他跑个100米得了
[00:11:41] 他提前调整了
[00:11:42] 所以你这个地方生理意义
[00:11:45] 生理意义在于要注意啊
[00:11:47] 突出后意志一定是
[00:11:48] 突出后意志
[00:11:50] 一定是经过一个传递以后
[00:11:53] 你比如是黑色的润小细胞
[00:11:54] 它释放一个肝酸
[00:11:56] 这个小地质
[00:11:57] 然后
[00:11:58] 直接让这个神经元啊
[00:11:59] 细胞膜发生IPSP了
[00:12:01] 这是一个回返
[00:12:02] 传入测试意志一样
[00:12:03] 你看
[00:12:04] 大臂方说
[00:12:05] 如果右边这个图是A神经元
[00:12:07] 不要谈一下
[00:12:08] 左边的图是B神经元的话
[00:12:09] A这个神经元在细胞膜这一块
[00:12:12] 就是EPSP的
[00:12:13] B这个地方就是IPSP
[00:12:16] 是传递完之后
