# 源音频：P15-生理学本科教学及考研基础课 p15 血液生理终章-血液凝固和血型.m4a
# 时长：4774s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,上节课实际上咱们是谈了两个小话题,血小板的生理和生理性止血。
[00:00:18] 实际上从严格的教材意义上划分,应该说血小板生理教材把它归到第二节,叫血细胞生理。
[00:00:26] 第三节是要谈生理情况下血管破损之后人体怎么样完成凝血的,这里边还有凝血抗凝和纤绒撒达系统一个动态平衡的问题。
[00:00:35] 所以教材编写的时候也只能是第二第三节分开,但是就学习内容来说的话,你发现生理性止血这样一个现象,从小小管收缩到血小板聚集以后的松软的一个栓子,包括血液凝固的完成三步。
[00:00:50] 这里边其实中心环节是谁啊?是血小板。
[00:00:54] 所以马马脑子解了一个概念说血小板不管是功能还是数量出现问题以后,临床的人都会发生出血。
[00:01:02] 你比如说著名的什么过敏性子癫呀。
[00:01:05] 血小板减少性子癫,还有尿毒症。
[00:01:08] 尿毒症内科学就要强调血小板数量不少,功能低,它的凝附聚集收缩释放这些功能低下,所以尿毒症患者后期是要出血的。
[00:01:19] 尿ITP的话特怕血小板减少子癫。
[00:01:22] 昨天我看B站后面还草拟老同学们记得我讲ITP的时候一句话叫,食物必利,一颗苗。
[00:01:29] 就是病人啊,你给他骨髓穿刺看一下,在骨髓里边支长聚合不缠吧?
[00:01:35] 没有多何细胞。
[00:01:35] 这个非常讨厌。
[00:01:38] 病人总发生出血,很糟糕的一个病。
[00:01:41] 妈妈昨天还在B站后面还回复,说你们考验那会儿考的是ITP,现在是要这七八年来早考ITP的Plus版。
[00:01:49] 你想,你买的手机都Plus版,Plus跑了,你看考试能不Plus?
[00:01:53] ITP的Plus版叫Evans,Evans,Cormis事业养性。
[00:01:58] 可能打扰小朋友听学业生理学的时候,感觉就这么一小张一把大,老师们也说了,生理学学习是吧?
[00:02:05] 这个。
[00:02:05] 细胞,胸环,神经是大张级,血液小张级。
[00:02:09] 等你学完内科学反过来看一下,我今天坐这录课,我在这想着是,我敢不敢说在生理学这本书里边,这一次学习,这一次重新添加这个本科教学,你发现血液生理学反而是最大一张。
[00:02:23] 哪一块东西会得多,哪块东西就大。
[00:02:27] 所以你妈妈发现了,小朋友眼中,爸爸妈妈都是大头娃娃。
[00:02:32] 为什么?
[00:02:32] 她想通过认识脸上的细部特征,走到街上。
[00:02:36] 不论走丢,那是出妈妈的。
[00:02:38] 你妈妈看小朋友画,儿童画,都是头大脖子细,越看越生气,都这样。
[00:02:44] 为什么?
[00:02:44] 你的视野往哪放,你的哪一块,认知的就更细腻。
[00:02:50] 一个医学生,如果不是全力以赴的学医学知识,而是读一会儿生理学,是吧,刷一会儿寒去,听会儿婴药,是吧,争会儿什么励志,动小姐,你娃不成啊。
[00:03:01] 你差不多做梦,说梦话都是专业识语。
[00:03:04] 反应子。
[00:03:05] 三应子,八应子,都这样,才能考点普。
[00:03:09] 不管它了,我做个解释,就教材为什么这样编排,这样的话,也利于你在脑子里面对知识归类的时候,重新认识。
[00:03:17] 不是因为我讲生理学,生理学范围大,不是,你知道,诺贝尔讲的全称叫诺贝尔的生理学,霍伊学讲。
[00:03:26] 这个学科你学完之后发现,它实际上不是你大二叔想象的那个样子,这本书的信息量非常大,信息量很大。
[00:03:33] 刚才实际上,我刚才进来入课之前,我还翻了一下,八年三百生理学的学业历,罗自强教授写的。
[00:03:41] 它实际上内部的很多东西,阐述的事很明朗。
[00:03:44] 只是咱们作为学生,读不出来味道而已。
[00:03:47] 不管它了,昨天咱们姐在这阐述了一下宁学因子的概念,翻过去得了。
[00:03:51] 这儿再稍微做一点小的补充,因为这是我之前拿教研室的统一的课间。
[00:03:56] 老师们集体备课,然后讲课的时候,教研室的工作一致性,这个课间刚才我改了一些内容,该用改了之后,
[00:04:03] 不是太理想,但也说得过去了。
[00:04:05] 有些东西还是说明白了。
[00:04:07] 一边第一个,
[00:04:08] 除了三因子以外,
[00:04:10] 都存在于血浆中。所以昨天讲和讲一句话说,
[00:04:13] 你要把血抽出来放在玻璃湿罐中,
[00:04:16] 然后发生血液凝固的话,
[00:04:19] 它是
[00:04:20] 没法发生外外性凝血的。
[00:04:22] 为什么?因为你抽血抽不到三因子。
[00:04:24] 第二个说,出四因子,四因子实际上就是钙离子,出它之外,其实一般的教材原划
[00:04:29] 都是蛋白质。
[00:04:31] 第三个说,除了因子四以外,
[00:04:33] 钙离子
[00:04:33] 以外,正常情况下,
[00:04:35] 这些
[00:04:36] 凝血因子一般都不具有活性。
[00:04:38] 这也是咱们学习生理学一个
[00:04:40] 普遍的常识,包括生化意识这样阐述。
[00:04:43] 在体内,我们有很多活动都是酶促反应,而酶在体内,
[00:04:48] 大多情况下
[00:04:49] 是以酶原性质存在的。
[00:04:51] 消化酶也不例外,
[00:04:53] 胃蛋白酶原,
[00:04:54] 胰蛋白酶原,
[00:04:55] 米蛋白酶原。
[00:04:57] 但是考试要考武,
[00:04:58] 在消化器当中,
[00:04:59] 见不见我胰酶的性质存在?有呀!
[00:05:01] 胰脂酶,
[00:05:02] 胰DF酶,就是酶。
[00:05:03] 但这些酶,特别是胰脂酶,
[00:05:06] 离开腹脂酶,你还干不了事。
[00:05:08] 所以讲课讲了这么多年,国家考试你翻1314年那话,
[00:05:12] 就老是这样考。这也是讲课,我一直在讲,一直讲,人家国家一直考。
[00:05:16] 胰脂酶
[00:05:17] 需要腹脂酶的存在
[00:05:19] 才能发挥脂肪消化作用。
[00:05:20] 那么胰脂酶和腹脂酶什么关系?我老说,
[00:05:23] 万能教个俩好。
[00:05:24] 腹脂酶负责把胰脂酶粘到脂肪,你脂肪太滑,
[00:05:28] 你这个胰脂酶抓不住它,一抓它跑了,出溜了。
[00:05:33] 它就站不住了。所以说,腹脂酶
[00:05:36] 抹在这个鱼背上,把胰脂酶粘上去,往哪跑?
[00:05:39] 住你到天涯海角,跑哪我也得消化。
[00:05:41] 这样,它是起个粘合作用,欧联作用。
[00:05:45] 这个地方听一下就好,一般都是以酶原形式。
[00:05:48] 所以在学消化生理学,早期你背过一句话,
[00:05:51] 胃代白酶原是被盐酸,就是胃酸激活的。
[00:05:56] 胰代白酶原是被肠基酶。
[00:05:58] 这是咱们大二叔非常关心的话题。
[00:06:00] 讲完学业之后,我将感官生经,完了我反过来讲。
[00:06:04] 我再讲小话,你也别着急,我慢慢跟你讲。
[00:06:06] 这个假期全部完成了。
[00:06:08] 接着往下走。
[00:06:09] 第四条说,凝血因子一旦被某些物质激活以后呀,
[00:06:14] 将引起一系列的连锁维素反应。
[00:06:16] 而且这维素反应你明白,它是一个瀑布式的正反馈过程。
[00:06:21] 瀑布式正反馈,我们一谈到
[00:06:24] 凝血的启动
[00:06:26] 就想起来一个词,正反馈。
[00:06:28] 所以前面包括薛小宝也是上一节和讲,
[00:06:31] 他的聚集核实法,ABP,内阅性的这个支聚剂。
[00:06:34] 因此包括
[00:06:35] TXL这样一个
[00:06:37] 促进APP的释放等等。
[00:06:38] 包括还有好多的纠结说老师呀,
[00:06:41] 这我记得在学细胞内障的时候,
[00:06:43] CMP第二性识
[00:06:45] 那不是启动细胞活动,对呀。
[00:06:47] 那怎么薛小宝内部CMP含量高的和薛小宝模仿稳定了?
[00:06:51] 他就是个第二性识,
[00:06:53] 领导说什么他干什么就完了。
[00:06:56] 所以CMP本身并不能发布命令。
[00:06:59] CMP就是个小哨兵,就是个这个小传令,传令说
[00:07:03] 小同志你过来,净命啊过来,来。
[00:07:05] 帮我把这包椰送给副市长啊。
[00:07:07] 你说市长大爷给他抽的。
[00:07:09] 来来来,把这圈收拾也给他,上厕所别拿收莫了,去吧。
[00:07:13] 他就说传令兵。
[00:07:15] 对了,
[00:07:16] 所以实际上看起来在薛小宝内部
[00:07:18] CMP负责传染的命令呢。
[00:07:20] 说哥们,把细胞往往扶住,
[00:07:22] 政地在,人在,政地在。
[00:07:24] 人亡政地亡,政地亡人亡,保不住政地我就要牺牲。
[00:07:29] 就类似于这样,他就说传令兵。
[00:07:31] 其实我就想不明白,不是你想不明白。
[00:07:33] 你不能
[00:07:34] 拿门,
[00:07:35] 每一个细胞内部的CMP
[00:07:38] 都当心肌细胞。
[00:07:40] 你想我吃饭也是,包子和馒头
[00:07:42] 和纯卷味道能一样吗?不一样,对呀。
[00:07:45] CMP仅仅是个第二性室,
[00:07:48] 你不要怪我啰嗦,你不听一下都疏你这种纠结。
[00:07:51] 嗯,不管他了啊。
[00:07:52] 所以这样体会,在薛小宝这儿呀,
[00:07:55] 薛小宝这儿
[00:07:56] 细胞内部的
[00:07:57] CMP含量越高,
[00:07:59] 薛小宝的膜就越稳定,这样的话碰触薛宝内皮以后,
[00:08:03] 他就不至于叽哩哇啦的激活呀。
[00:08:05] 他就不至于叽哩哇啦的释放呀。
[00:08:06] 不至于,不至于,他就稳定了。
[00:08:08] 所以说我们给他吃个药,
[00:08:10] 双米达摩,
[00:08:11] 叫爬生病。
[00:08:12] 年轻我做医生时候的红色小药片,你可以给病人开一开,
[00:08:16] 双米达摩,爬生病,双米达摩。
[00:08:17] 双米达摩实际上还有一些麻烦,
[00:08:20] 这样子到了内科学咱们在谈,比如说
