行号	疑似误识	建议术语	原句
4	传入测试意志	传入侧支抑制	好同学们,刚才咱们学了一下中数据的突出后意志,包括传入测试意志和回反式意志。
24	意志四	抑制素	所以同样一个中枢意志四个字。
60	意志四	抑制素	你就体会中书意志四个字,你能想多深。
81	半国管	半规管	半国管有三条,外上后。
83	半国管	半规管	以及时光面和怪光面,后上半国管。
84	半国管	半规管	所以晕船就是后上半国管同时过度受刺激造成的。
97	学习药	血细胞	还是为了进一步,下一步学习药理学并升学哪个基础。
104	抑制死	抑制素	你试着听下去,中枢抑制死的字有多少种境界?
128	抑制记录	抑制激素	中枢抑制记录就结束了。
248	传入测试意志	传入侧支抑制	传入测试意志一样
259	趋地化	去极化	发生趋地化化超级化
278	趋地化	去极化	就叫做是一个趋地化
290	趋地化	去极化	趋地化过程
292	趋地化	去极化	它提前发生趋地化了
293	趋地化	去极化	那么GABA-B受体是让A这个神经元细胞膜的趋地化过程
295	趋地化	去极化	所以GABA-A改变的是趋地化
297	趋地化	去极化	不管趋地化复极化
301	趋地化	去极化	要么是趋地化因为提前已经发生一个微微的趋地化
301	趋地化	去极化	要么是趋地化因为提前已经发生一个微微的趋地化
302	趋地化	去极化	那么在它正式趋地化的时候
303	趋地化	去极化	它就在更高的水平上趋地化了
317	趋地化	去极化	它的趋地化事项缩短
322	趋地化	去极化	但是你不管是趋地化时节短
333	趋地化	去极化	突出前方为什么要趋地化
335	摩天位	膜电位	摩天位负40毫伏的时候
369	变突出	电突触	是直接改变突出后模
383	变突出	电突触	突出后抑制是直接改变突出后模性风性
559	意志同	皮质酮	在一突出前意志同样的结构基础之上
1122	路传到	骨传导	感觉传入通路传到哪里结束
1142	束旁河	室旁核	还有束旁河
1255	有符合	后负荷	还有符合核
1286	树旁核	室旁核	树旁核
1296	种树去	重摄取	再向更高级的种树去投射
1448	机动系	激动剂	机动系统
1456	内脏疼	内脏痛	内脏疼痛
