行号	误识	纠正为	置信度	原句
7	结抗机	拮抗剂	high	其实不是,你生理学这个过程加持一些干预的手段,给受体机动机,给受体结抗机,给替代物,你就变成药理学了。
45	复计化	复极化	high	以至于在112大开术往下读,会发现,新式机细胞三期的复计化后半程,
46	复计化	复极化	high	它的复计化过程是正反馈的。
388	感觉奇怪	感觉器官	medium	感觉奇怪,
397	视频读	视敏度	medium	一个人把这本书变成视频读给你听,
509	感觉奇怪	感觉器官	medium	感觉奇怪的目的,就是为了研究一下野球上有没有光电反应,身体结系我能不能常动自来位吗?
606	动作点位	动作电位	high	是最后咱们整个视网膜的动作点位通过神经结细胞
608	神经线位	神经纤维	high	会离开眼球往中处走。所以最后在视网膜上所有的视神经线位
967	感觉奇怪	感觉器官	medium	感觉奇怪的一个基本知识点
1002	失望膜	视网膜	high	就正好到失望膜去了
1006	失望膜	视网膜	high	到失望膜去了
1011	失望膜	视网膜	high	焦点就往失望膜后面移
1012	失望膜	视网膜	high	就到不着失望膜
1018	失望膜	视网膜	high	拉到失望膜
1023	失望膜	视网膜	high	因为散射光就得去失望膜后面去了
1025	失望膜	视网膜	high	把焦点重新拉到失望膜上
1177	心理储备	心力储备	high	心理储备
1190	心理储备	心力储备	high	这个储备能力叫心理储备
1191	心理储备	心力储备	high	所以你结果心理储备往上储备
1193	非同期	肺通气	high	是非同期的面积 换解的面积
1832	进反射	近反射	high	进反射
1834	进反射	近反射	high	进反射通过反射活动的发射
1838	进反射	近反射	high	那么进反射的效应器是谁
1899	解抗剂	拮抗剂	high	M受体解抗剂
