行号	误识	纠正为	置信度	原句
20	型盖通道	型钙通道	high	你看骨骼肌细胞简单,骨骼肌细胞的话只需要横管膜上的这个L型盖通道,
27	收缩偶联	收缩耦联	high	低盖的话,心脏停泊于舒张期,因为心肌收缩偶联。
120	房事严格	房室延搁	high	叫房事严格。
122	房事严格	房室延搁	high	由于一个现象,房事接传到满房事严格。
126	房事严格	房室延搁	high	房事严格结束了,心事开始收缩。
127	收缩大	收缩压	medium	心事收缩大概需要0.3秒。
139	舒张器	舒张期	high	这就是著名的全心舒张器。
267	收缩器	收缩期	high	等于收缩器最少,
279	收缩器	收缩期	high	收缩器还好,
280	舒张器	舒张期	high	舒张器明显缩短,
287	心脚痛	心绞痛	high	仍是会发生心脚痛的,
292	心脚痛	心绞痛	high	是能发生心脚痛的,
293	心脚痛	心绞痛	high	这句话不是阐述心脚痛,
307	心脚痛	心绞痛	high	老发生心脚痛,
354	房室严格	房室延搁	high	因为房室严格内毛病,
361	房室严格	房室延搁	high	正好房室严格解除了,
607	快速摄血期	快速射血期	high	快速摄血期,
613	快速摄血期	快速射血期	high	这样一个快速摄血期,
629	减慢摄血期	减慢射血期	high	在减慢摄血期的时候,
881	舒张四	舒张期	medium	舒张四个期,
964	心房收缩力	心房收缩期	medium	不是心房收缩力量太大,
1117	收缩器	收缩期	high	等人收缩器推着二节膀,
1216	舒张起	舒张期	high	舒张起奔马律,
1445	每波输出量	每搏输出量	high	每波输出量和每分输出量,
1446	每波输出量	每搏输出量	high	什么叫每波输出量,
1500	摄血分数	射血分数	high	就能算出来摄血分数,
1502	摄血分数	射血分数	high	摄血分数,
1504	摄血分数	射血分数	high	左室摄血分数,
1518	摄血分数	射血分数	high	超生就要超到他的摄血分数小于40%,
1538	摄血分数	射血分数	high	摄血分数就48.4,
1572	摄血分数	射血分数	high	摄血分数,
1592	每博输出量	每搏输出量	high	博出量全称叫每博输出量,
1604	摄血分数	射血分数	high	摄血分数,
1841	前复合	前负荷	high	可能我前复合就需要
1847	前复合	前负荷	high	必须增加前复合
1945	每分工	每分功	high	每分工等于每博工之行
1945	每博工	每搏功	high	每分工等于每博工之行
2039	心脚痛	心绞痛	high	心脚痛
2059	心脚痛	心绞痛	high	就发生心脚痛了
2132	心脚痛	心绞痛	high	人是会心脚痛的
2396	舒张起	舒张期	high	第二个就舒张起储备
2399	社学分数	射血分数	high	社学分数
2405	潜负荷	前负荷	high	通过适当增加潜负荷
2410	潜负荷	前负荷	high	所以潜负荷
2421	社学分数	射血分数	high	增加社学分数
2430	舒张器	舒张期	high	舒张器储备
2431	博出量储备	搏出量储备	high	大概心脏博出量储备
2437	心理储备	心力储备	high	心理储备
2443	社学分数	射血分数	high	就通过增加它的社学分数
2445	潜负荷	前负荷	high	增加潜负荷更靠谱
2459	潜负荷	前负荷	high	所以心脏想通过增加潜负荷
2463	社学分数	射血分数	high	加强它的社学分数
2464	社学分数	射血分数	high	增加社学分数
2467	心理储备	心力储备	high	这就是完成心理储备所需要的三个途径
2506	出长度	初长度	high	出长度
2517	出长度	初长度	high	潜伏和就是个出长度
2543	前负责	前负荷	medium	就是肌肉输出前负责的伏和
2580	出场度	初长度	high	就是心肌细胞的出场度
2631	出肠度	初长度	high	出肠度的改变增加
2701	收缩器	收缩期	high	那么就需要等能收缩器稍微长一点
2803	便利状态	变力状态	high	成为心肌的便利状态
2826	摄血分数	射血分数	high	就等于摄血分数
2830	摄血分数	射血分数	high	通过增加心脏的摄血分数
2872	摄血分数	射血分数	high	通过增加心脏的摄血分数
2906	摄血分数	射血分数	high	心脏可以通过增加摄血分数LVF
2909	摄血分数	射血分数	high	增加摄血分数而增加博出量这个方法
2926	基钙蛋白	肌钙蛋白	high	以及基钙蛋白对钙子清化
3004	出场度	初长度	high	出场度越长
