行号	误识	纠正为	置信度	原句
7	结抗剂	拮抗剂	high	所以就慢慢思考为什么除了一个经典的左学多巴胺能够治疗帕尼森以后,用M3结抗剂,本海索。
106	批层小脑	皮层小脑	high	特别强调了一下,批层小脑是不接受外层信息传入的。
107	批层小脑	皮层小脑	high	批层小脑专为大脑服务。
111	批层小脑	皮层小脑	high	所以批层小脑不但是有运动程序的设计,
115	批层小脑	皮层小脑	high	批层小脑是一个
122	批层小脑	皮层小脑	high	他脑梗的时候,把批层小脑给梗了。
133	批层小脑	皮层小脑	high	批层小脑主要是用到程序的设计,用到程序的保存,这么一个功能。
180	帕金森静	帕金森病	medium	不动就颤,是帕金森静止正颤,
343	运动前去	运动前区	high	中央气候运动前去,他在发出指令一会就看到了,
356	皮层脊髓术	皮层脊髓束	high	说真正意义上你看到的皮层脊髓术,应该是这是思路区发出的,
358	皮层脊髓术	皮层脊髓束	high	包括312区第一体表代表区也有纤维参与到皮层脊髓的皮层脊髓术了,
364	几休克	脊休克	high	你得明白,第一个咱们从几休克,国际前端反射,然后到延长比例增强的前端反射斑马僵直,
365	基地神经解	基底神经节	high	再到阿尔法僵直,再到基地神经解,帕尼森和利顿,
385	神经管	神经元	medium	就是我不管你的神经里边是右半球左半球来的,但是一到了免神经管的地方,会合成一条神经,只有在这个地方水肿压迫以后病了,它才支配不了头面部肌肉,出现口也歪血以后,
397	皮层脑干数	皮层脑干束	high	外侧部运动升级运,然后控制四六的远端肌肉,与精巧的运动有关系,一个是通过皮层脑干数,刚才说,到脑运动升级运,
426	匹曾脑干竖	皮层脑干束	high	匹曾脑干竖,
467	曲级反射	屈肌反射	high	过强的一个曲级反射,
470	曲级反射	屈肌反射	high	曲级反射增强,
472	曲级反射	屈肌反射	high	那么曲级反射增强就有个表现,
528	异化区	易化区	high	异化区有哪些,
549	脊锈科	脊休克	high	有个脊锈科和脊锈科恢复,
549	脊锈科	脊休克	high	有个脊锈科和脊锈科恢复,
