行号	误识	纠正为	置信度	原句
7	突出后意志	突触后抑制	high	最初我也当学生,也当老师,包括学生们期末考试,到现在为止,学校的期末的生理学考试命题,喜欢把论述题这样大的话题放到细胞这一章,放到循环系统这一章,放到神经系统这一章,里边考你一个中枢意志,有哪些,有突出后,有突出前,是吧,突出后意志又包括什么,传入侧直意志,回返式意志。
7	传入侧直意志	传入侧支抑制	high	最初我也当学生,也当老师,包括学生们期末考试,到现在为止,学校的期末的生理学考试命题,喜欢把论述题这样大的话题放到细胞这一章,放到循环系统这一章,放到神经系统这一章,里边考你一个中枢意志,有哪些,有突出后,有突出前,是吧,突出后意志又包括什么,传入侧直意志,回返式意志。
8	突出后意志	突触后抑制	high	按照标准的大学的期末考试,应该是这样一个题目,说是会图说明,突出后意志,内心有哪些,机制如何。
259	生理性知学	生理性止血	high	第三节咱们学的一个生理性知学,
261	生理性知学	生理性止血	high	一个是生理性知学的概念,
267	敏感话	敏感化	high	一个敏感话题,
313	超计划	超极化	high	什么叫超计划,
314	去计划	去极化	high	什么叫去计划,
315	反计划	反极化	high	什么叫反计划,
317	中板点位	终板电位	high	什么叫中板点位,
319	局部点位	局部电位	high	什么叫局部点位,
320	动作点位	动作电位	high	什么叫动作点位,
372	生反馈	正反馈	medium	师生之间会产生反馈,
379	中枢严格	中枢延搁	high	还得有点中枢严格,
391	生反馈	正反馈	medium	后期才产生反馈,
486	聚合细胞	巨核细胞	high	血浆宝是聚合细胞成熟以后脱落下来的,
953	交替渗透压	胶体渗透压	high	白蛋白构成血浆的交替渗透压,
1116	低肾尿	低渗尿	high	低肾尿,
