行号	疑似误识	建议术语	原句
292	抗利妙激素	抗利尿激素	抗利妙激素。
531	负点位	阈电位	负点位。
532	负点位	阈电位	这个负点位。
665	全无同	醛固酮	叫全无同名感纳通道。
667	全无同	醛固酮	内部具有全无同。
672	去吸收	骨吸收	通道开放怎么去吸收。
681	去吸收	骨吸收	去吸收。
774	部吸收	骨吸收	那我就得把纳全部吸收掉。
794	生负电	生物电	是纳的吸收流下滤之后产生负电荷。
797	生负电	生物电	产生负电荷是机制。
901	原器小管	远曲小管	这个小管也进入原器小管的时候。
913	原器小管	远曲小管	小管也进入原器小管的时候。
927	原器小管	远曲小管	小管也进入原器小管的时候。
928	原器小管	远曲小管	进入原器小管的时候。
938	原器小管	远曲小管	到原器小管集合管这一定要分两段。
950	原器小管	远曲小管	原器小管和机合管这会一控。
1164	批细胞	壁细胞	我们这个胜小管上批细胞呀。
1307	去吸收	骨吸收	吸收形式拉一个糖去吸收。
1457	密细胞	壁细胞	碳酸钙酶在啥密细胞内部不二氧化碳和水变成碳酸。
1582	气分泌	自分泌	氨气分泌出来以后单程扩散。
