行号	误识	纠正为	置信度	原句
12	时候像	视后像	high	就心里面那么几盏灯,在关键时候像狮子无口的路标一样,让我不会迷失方向。
50	失追细胞	视锥细胞	high	我让A失追细胞,放电,兴奋的同时。
51	失追细胞	视锥细胞	high	让B失追细胞,抑制。
72	突出后意志	突触后抑制	high	一种叫做突出后意志。
73	突出传递	突触传递	high	经过一个突出传递以后,
76	突出前意志	突触前抑制	high	一种呀,是突出前意志。
424	传入侧直意志	传入侧支抑制	high	传入侧直意志
433	神经地质	神经递质	high	它会释放意志性的神经地质
439	神经地质	神经递质	high	神经地质
468	传入测值意志	传入侧支抑制	high	传入测值意志由于也叫做交互意志
468	交互意志	交互抑制	high	传入测值意志由于也叫做交互意志
478	传入测值意志	传入侧支抑制	high	那么传入测值意志在哪里能看见
481	趋击反射	屈肌反射	high	叫趋击反射
513	区级反射	屈肌反射	high	区级反射
518	区级反射	屈肌反射	high	区级反射还有一个升级版
521	区级反射	屈肌反射	high	如果说区级反射是一个保护性反射的话
528	区级反射	屈肌反射	high	区级反射的时候
531	区级反射	屈肌反射	high	区级反射实际上就是一个典型的单凸凸反射
536	区级反射	屈肌反射	high	区级反射这个多凸的话你不会被电子杯水烫死了
538	区级反射	屈肌反射	high	你就想一下这区级反射
544	键反射	腱反射	high	键反射的
552	区级反射	屈肌反射	high	区级反射也是
553	区级反射	屈肌反射	high	我们研究的是区级反射的时候
602	传入侧直移植	传入侧支抑制	high	传入侧直移植
733	超级化	超极化	high	就是典型的超级化
735	超级化	超极化	high	这个超级化的电位变化
931	交互意志	交互抑制	high	是交互意志
933	曲级反射	屈肌反射	high	这个曲级反射这个小词
1043	周江运输	轴浆运输	high	就逆向周江运输
1092	突出后抑制	突触后抑制	high	这是两个突出后抑制的案例
1096	突出后抑制	突触后抑制	high	突出后抑制
1101	突出前抑制	突触前抑制	high	再接下来就该突出前抑制了
