行号	误识	纠正为	置信度	原句
5	神经调解	神经调节	high	人体整个的功能调解你知道包括神经调解、体液调解、自身调解。
5	体液调解	体液调节	high	人体整个的功能调解你知道包括神经调解、体液调解、自身调解。
5	自身调解	自身调节	high	人体整个的功能调解你知道包括神经调解、体液调解、自身调解。
6	自身调解	自身调节	high	差不多这本书从序论一开始,咱们接触自身调解的时候,接触两个,一个就是肾脏血压流量、自身调解,一个是微胸化的迂回通路。
6	自身调解	自身调节	high	差不多这本书从序论一开始,咱们接触自身调解的时候,接触两个,一个就是肾脏血压流量、自身调解,一个是微胸化的迂回通路。
7	自身调解	自身调节	high	实际上人体的器官或组织有很多自身调解,比如说心脏,在它潜伏和发生改变的时候,它就分别发生所谓的异常自身调解等等。
7	自身调解	自身调节	high	实际上人体的器官或组织有很多自身调解,比如说心脏,在它潜伏和发生改变的时候,它就分别发生所谓的异常自身调解等等。
8	自身调解	自身调节	high	但是肾脏的自身调解,咱们说,能不能这样通俗讲一句话说,它的自主意识更强一点。
9	自身调解	自身调节	high	肾脏对人体的功能活动影响,自身调解作用是很大的。
11	自身调解	自身调节	high	说明明肾脏血压自身调解,可是肾血管它为什么长了一些胶感缩血管纤维?
14	自身调解	自身调节	high	生理情况下,肾脏血流量是自身调解的,但一旦人遭遇到一个重大的外来打击,需要跑路,需要逃跑,需要搏斗,所谓的防御反射,那么这时候胶感使人兴奋。
15	自身调解	自身调节	high	到内封密系统你还能学到所谓的异常自身调解。
17	自身调解	自身调节	high	这个情况下你体会一下,生理情况下肾脏活动自身调解的,但是在某些非肾的应急啊,或者是病理情况下,肾脏的活动就被胶感神经给接管了。
17	胶感神经	交感神经	high	这个情况下你体会一下,生理情况下肾脏活动自身调解的,但是在某些非肾的应急啊,或者是病理情况下,肾脏的活动就被胶感神经给接管了。
19	自身调解	自身调节	high	所以整个这一扎脏血道你要生成的时候,它的调解你要注意,既有自身调解的,也有神经和体液的。
20	神经调解	神经调节	high	摸出意义上,神经调解你看到,它身上是单一的,肾脏的胶感神经。
20	胶感神经	交感神经	high	摸出意义上,神经调解你看到,它身上是单一的,肾脏的胶感神经。
29	胶感神经	交感神经	high	生理情况下,由于心脏为力,心脏的胶感神经和弥走神经同时对心脏发挥作用。
48	胶感神经	交感神经	high	胶感神经让心脏活动加强,
59	胶感神经	交感神经	high	胶感神经兴奋,
63	胶感神经	交感神经	high	胶感神经兴奋,
81	胶感神经	交感神经	high	胶感神经兴奋的时候,
149	抗力鸟肌素	抗利尿激素	high	这个激素叫抗力鸟肌素,
154	抗力鸟肌素	抗利尿激素	high	抗力鸟肌素主要作用集合管,
162	抗力鸟肌素	抗利尿激素	high	它既叫做抗力鸟肌素,
166	盐批制激素	盐皮质激素	high	盐批制激素,
171	心房纳尿态	心房钠尿肽	high	下来就还有心房纳尿态ANC,
254	球旁气	球旁器	high	球旁气的时候,
262	致米斑	致密斑	high	叫致米斑,
263	致米斑	致密斑	high	致米斑感受的是什么呀,
270	致米斑	致密斑	high	这致米斑怎么活动的,
272	致米斑	致密斑	high	致米斑感受的是尿,
278	致米斑	致密斑	high	那么致米斑感受是,
293	致米斑	致密斑	high	这个信息通过致米斑感受,
337	致密般	致密斑	high	所以致密般感受的是,
577	渗糖域	肾糖阈	high	一只一糖的浓度超过了渗糖域,
657	球旁气	球旁器	high	直接刺激刚才讲球旁气图的
788	组织呀	组织液	medium	那个是结核病的干涨性组织呀,
860	线垂体	腺垂体	high	和线垂体之间,
861	线垂体	腺垂体	high	线垂体之间,
923	体液调解	体液调节	high	这是一个典型的体液调解方式,
1040	体液调解	体液调节	high	在肾脏体液调解症,
1046	经体渗透压	晶体渗透压	high	血浆的经体渗透压,
1048	经体渗透压	晶体渗透压	high	经体渗透压,
1082	冲吸收	重吸收	medium	剩小管水的冲吸收能力,
1090	水离尿	水利尿	high	这个现象叫清水离尿,
1236	解抗剂	拮抗剂	high	受体解抗剂,
1300	抗泌尿激素	抗利尿激素	medium	抗泌尿激素,
1352	进去小管	近曲小管	high	刺激进去小管的氯化钠重吸收,
1354	小管呀	小管液	medium	通过缩小管呀,
1368	新血管中枢	心血管中枢	high	让野水的新血管中枢加强,
1412	复返亏	负反馈	high	是复返亏的,
1467	内脾素	内皮素	high	包括内脾素
1478	精体渗透压	晶体渗透压	high	的精体渗透压
