行号	误识	纠正为	置信度	原句
145	脑基液屏障	脑脊液屏障	high	血脑基液屏障,
161	静息点位	静息电位	high	形成所谓的静息点位,
467	进去小管	近曲小管	high	进去小管,
785	交替渗透压	胶体渗透压	high	交替渗透压,
1250	交替渗透压	胶体渗透压	high	导致于血浆的交替渗透压增高,
1279	球旁气	球旁器	high	加上咱们在前面谈的那个球旁气,
1293	肾脚球	肾小球	medium	动力是肾脚球外小块血压往外挤,
1358	肖管液	小管液	high	物质从生肖管液中,
1434	异化扩散	易化扩散	high	和异化扩散,
1438	异化扩散	易化扩散	high	异化扩散,
1439	异化扩散	易化扩散	high	也包括载体异化扩散,
1440	异化扩散	易化扩散	high	和通道异化扩散,
1452	异化扩散	易化扩散	high	也有异化扩散,
1467	异化扩散	易化扩散	high	所以尿素实际上在生小管里边是有异化扩散成分存在的,
1567	铜像转运	同向转运	high	铜像转运,
1612	小管叶	小管液	high	我们专门把朝向小管叶,
1620	小管叶	小管液	high	小管叶这边叫管腔膜,
1649	通向转运	同向转运	high	它是通过通向转运,
1669	异化扩散	易化扩散	high	去异化扩散出去,
1770	抗力鸟激素	抗利尿激素	high	抗力鸟激素,
1779	抗力鸟激素	抗利尿激素	high	所以抗力鸟激素负责集合管水吸收的通透性,
