# 源音频：P01-生理学本科教学及考研基础课 p01 绪论.m4a
# 时长：5482s | 模型：C:\Users\somnu\.cache\fw-turbo | cuda/float16 | 语种：zh(p=1.00)

[00:10:00] 在心脏上给它打到血管里边。
[00:10:02] 在同一个心脏离开身体的时候接受一个药物的支配是一种表现形式,放在体内另一种方式。
[00:10:09] 所以我们把这个立体载体就称之为是整体实验,是器官水平实验,还是我们在实验室中做科研,做硕士、做博士期间,拿一个心底细胞,单独在一个细胞,放显微镜底下,给它变一个小药物,看看这一个通道,一个细胞活动怎么改变的。
[00:10:27] 把这样一个不同的实验手段、科研观察的方法在教材下称之为研究水平,分子水平的,就分子细胞水平的,器官,系统水平的,和整体水平的。
[00:10:41] 所以实际上有些时候我人们喜欢争论一下,说我这个实验毕竟那个实验水平高,实际上不是水平,是角度。
[00:10:49] 你看的是一个细胞,一个器官,还是一个整体。
[00:10:53] 说是干嘛不都看一个整体啊?
[00:10:55] 你看一个整体的时候,比如说你给一个药物,刺激心脏的时候,心脏只要一变化,肺脏就会变化。
[00:11:01] 你提过那个词,心慌,气短,artobreath,你分不开。
[00:11:08] 这样的话,这个药物到底是,你会影响肺脏,心脏受害了,还是影响心脏时候,肺脏这个所谓受害,不是说害它了,是说互相联动了。
[00:11:17] 系统之间,器官之间,人体内部,它好多活动是互相调节的。
[00:11:23] 对了,后马次里长,咱们会讲到,因此这样的话,就不利于观察一个物质,对于某一个细胞,对于某一个器官的具体的影响是什么。
[00:11:33] 所以不如把心脏拿出来,放桌子上看一看,我不说血果,就说心脏,也不说肺脏了,看怎么变的,哎,器官水平。
[00:11:40] 但是你设想一下,你要是临床上给人吃个药,你是吃到心脏里边去了,还是吃全身了,吃全身了。
[00:11:47] 所以如果非要让我在细胞,器官,系统和整体水平来讲,到底谁水平高的话,我们得说,最高水平一定是整体的水平。
