# 源音频：P12-生理学本科教学及考研基础课 p12 血液生理第一节2-血液的理化特性.m4a
# 时长：2078s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好,同学们,咱们上节课谈了一下血液这章的第一节,有关血液的构成和理化特性。
[00:00:18] 所以实际上第一节课谈了一下血液构成,血细胞、血浆、血浆和血清的概念,包括血细胞比容、红细胞比容,这样一些话题。
[00:00:29] 所以这些词在大二学习的时候就是一个词,已经那么过去了。
[00:00:34] 但你等到学到那边课的时候,你很久很久,你可能会从外科学孩子那么讲和特别讲。
[00:00:39] 都是和休克差别这么那么大呢。
[00:00:42] 肝癌性休克,HCT要低。
[00:00:46] 低溶量休克,HCT要高。
[00:00:48] 你必须保证血液具有一定的红细胞的浓度,才能满足血液、血氧的能力。
[00:00:54] 如果你给病人打了大湿血以后,你只是不液体。
[00:00:57] 没有考虑哺乳浓缩的红细胞,血液太稀释,只见血浆,不见血细胞,是暗地骗人了。
[00:01:06] 他没有红细胞,没法下载氧气,是这个样子。
[00:01:08] 所以知道有一天你要将来再往下多内外科发现,
[00:01:12] 在没有红细胞或者是有红细胞,比如说煤气中毒、一氧化碳中毒了,
[00:01:17] 那么这样的话,红细胞失去了和氧气的结合能力,被一氧化碳就破坏掉了。
[00:01:23] 这叫战争毛克拉式。
[00:01:24] 一氧化碳和血红代表结合的强度,
[00:01:27] 是氧气和血红代表结合的二三百倍,二百五吧,二百五十倍。
[00:01:33] 这样的话,结合了一氧化碳以后,血红代表就没法和氧气结合。
[00:01:37] 那么这个情况下,实际上是只有血浆没有血细胞,
[00:01:40] 人还能活步,所以人们就发明了一个方法,高氧氧仓,这样一些话题。
[00:01:46] 这一节还咱们接着谈血液的,它的第一节的第二个小问题,
[00:01:50] 就是理化特性,包括比重。
[00:01:53] 血浆比公大概是在1.025到1.030,
[00:01:55] 这个比公你发现比水的比公一,
[00:01:57] 要比水的比公一,
[00:01:57] 比重要大,比例比重要大,
[00:01:59] 为什么大,里边有血浆蛋白质和其他一些,
[00:02:03] 这个无机液溶脂分子,这样的。
[00:02:06] 所以这样一个血浆的比重的构成,
[00:02:10] 主要来自于血浆的,血浆蛋白。
[00:02:14] 血浆蛋白如果还能减少的时候,比重就下降,
[00:02:17] 这个样子的。
[00:02:18] 第二小块还有血液的一个酸解度,
[00:02:21] 这个咱们就更熟悉了,
[00:02:23] 你所谓的内环境的稳态,
[00:02:27] pH值正常保持在7.40左右,
[00:02:30] 你要叫它7.40,
[00:02:30] 你要叫它7.40,
[00:02:30] 你要叫它7.40,
[00:02:30] 你要叫它7.40,
[00:02:30] 你要叫它7.40,
[00:02:30] 你刚才给数据的话,
[00:02:31] 是7.35到7.45之间,
[00:02:33] 实际上在实验室我们做科研的时候,
[00:02:36] 喜欢把细胞外的pH值控制在7.38左右,
[00:02:40] 有些时候如果这个pH值不太好控制,
[00:02:43] 我们就在细胞的灌溜液里边,
[00:02:45] 给它使用通过二氧化碳,
[00:02:47] 所以慢慢慢慢当学生理学学医,
[00:02:49] 学时间久了就发现,
[00:02:50] 这个二氧化碳在血浆中是一酸的形式存在的,
[00:02:53] 所以慢慢你建立一个概念,
[00:02:55] 是慢慢建立的,
[00:02:56] 一旦集体的二氧化碳排不走,
[00:02:58] 我们就叫呼吸性的酸中毒,
[00:03:00] 一旦二氧化碳排出过多,
[00:03:02] 就叫呼吸性的碱中毒,
[00:03:04] 所以肺脏是可以调节酸碳的,
[00:03:07] 然后咱们在这一次录制本科课程之前,
[00:03:10] 先录肾脏的一块,
[00:03:11] 那会儿课你要听完之后,
[00:03:13] 你发现咱们认真地讲了一句话,
[00:03:15] 肾脏调节集体酸碳,
[00:03:17] 压根就是五种生命,
[00:03:19] 它要通过果氨鲜氨代谢到果氨酸,
[00:03:22] 然后到α-氨-氨酸,
[00:03:23] 再生成塔杂钳和氨,
[00:03:25] 表象上看起来是在密氨,
[00:03:28] 实际上偷偷摸摸的,
[00:03:29] 还在生成塔杂钳,
[00:03:31] 生理学上没有强调,
[00:03:33] 到病生诊断和内外科就要强调,
[00:03:35] 血浆中的塔杂钳,
[00:03:37] 我们在医学上就叫做集体的减储备,
[00:03:41] 所以肾脏是能增加集体解的生成的,
[00:03:44] 肾脏功能解退之后解的生成就不足,
[00:03:47] 所以我们恶狠狠地背了一句话,
[00:03:49] 肾功能衰竭的患者只能是酸中毒的,
[00:03:53] 你早期的时候我学习俩字叫调节,
[00:03:56] 你觉得调节吗?太怂了,
[00:03:57] 太怂了,我解理解,
[00:03:59] 太紧了,我松一松,太高了,
[00:04:01] 我降一降,太低了,
[00:04:02] 我生理上是这个样子,
[00:04:04] 你回头慢慢学医学,
[00:04:05] 你会发现,特别是生理学上,
[00:04:06] 你发现人体有一些功能调节,
[00:04:09] 是单向调节的,
[00:04:10] 比如野球调节折光,
[00:04:13] 你只能把焦点从后往前拉,
[00:04:16] 你没法把焦点从前往后推,
[00:04:19] 所以焦点如果在视网膜后面,
[00:04:22] 在远视的时候,
[00:04:23] 我能通过野调节把焦点往前拉一拉,
[00:04:25] 如果轴心近视野球太长,
[00:04:28] 焦点在视网膜前面,
[00:04:29] 你就推,
[00:04:30] 你推不过去了,
[00:04:31] 只能记住眼镜,
[00:04:32] 或者把脸趴到东西上,
[00:04:34] 这个样子,
[00:04:35] 慢慢学习网单向调节,
[00:04:38] 要不说书读千遍,
[00:04:40] 其自先,
[00:04:41] 刚才我在手机上入课之前,
[00:04:44] 看手机上还有一些所谓的
[00:04:47] 教育家,
[00:04:48] 一些名士,
[00:04:49] 强调读过,读透,
[00:04:52] 是咱们一直强调说学过,
[00:04:53] 学会,学透,就这个意思,
[00:04:56] 再也不说别人把咱们的话拿走了,
[00:04:57] 意思是这样,什么意思,
[00:04:59] 这本书,
[00:05:00] 你读过一遍,
[00:05:01] 和你真正的这本书读明白,
[00:05:03] 差别是很大的,
[00:05:04] 所以录课之前没事,
[00:05:06] 翻了翻手机,
[00:05:07] 刚才看了看咱们的B站这个弹幕,
[00:05:09] 我也是哭笑不得,
[00:05:10] 我在想上节课专门讲了一个东西,
[00:05:12] 讲了什么东西,
[00:05:13] 你比方说,
[00:05:14] 我们马上在三节的后面就要学习谁了,
[00:05:17] 要学习渗透压的概念了,
[00:05:19] 渗透压,
[00:05:22] 你学渗透压的概念,
[00:05:24] 就会学晶体和胶体,
[00:05:26] 一会咱们讲到,
[00:05:27] 所以在这个地方专门在上一节和学业这一章,
[00:05:30] 一开始讲,
[00:05:31] 一句话,
[00:05:32] 说你到临床内外科学,
[00:05:33] 特别外科学上你看一下,
[00:05:35] 急性脱水的时候,
[00:05:36] 急性的脱水,
[00:05:38] 病人或者是高升,
[00:05:40] 或者是等升脱水,
[00:05:41] 慢性脱水可能是低升的,
[00:05:43] 结果刚才我看B站上,
[00:05:45] 小华同学打的弹幕,
[00:05:47] 就打反了,
[00:05:48] 我在想是我口误了,
[00:05:49] 我也没反复去听,
[00:05:51] 还是你听的时候听误了,
[00:05:53] 不且不管他,
[00:05:54] 所以这在录课,
[00:05:55] 我先把这事声明一下,
[00:05:57] 急性脱水,
[00:05:59] 急性的,
[00:06:00] accurate,
[00:06:00] accurate,
[00:06:01] 就是急性脱水的,
[00:06:02] 病人一般都是高升脱水,
[00:06:05] 或等升脱水,
[00:06:06] 那么慢性脱水,
[00:06:07] chronic,
[00:06:08] 慢性的,
[00:06:09] 这个脱水,
[00:06:09] 病人一定是低升的,
[00:06:11] 我们找一个案例你背下来,
[00:06:13] 实际上肝硬化这个病,
[00:06:15] 在内考学教材上,
[00:06:16] 因为它叫做稀释性的低纳血症,
[00:06:20] 而著称为是,
[00:06:22] 如果让我在临床上的一个慢性脱水,
[00:06:24] 水去哪里了,
[00:06:25] 肝硬化病人,
[00:06:25] 水跑到腹膜腔,
[00:06:26] 肝硬化腹水一般,
[00:06:28] 所以病人一直持续处于低容量,
[00:06:30] 慢性失水的状态,
[00:06:33] 这个情况下,
[00:06:33] 病人的血液是稀释的,
[00:06:36] 叫稀释性低纳血症,
[00:06:39] 假如上节课是我口误了,
[00:06:41] 或者是你听误了都无所谓,
[00:06:44] 这节课咱们特别强调,
[00:06:45] 把它改过来,
[00:06:46] 在这咱们讲到酸解度的时候,
[00:06:48] 讲一句话,
[00:06:49] 人体的酸解平衡,
[00:06:50] 实际上是肺脏和肾脏两个器官,
[00:06:54] 协同作用的结果,
[00:06:56] 血浆那边,
[00:06:57] 咱们医学生理学在这一节就会发现,
[00:06:59] 有著名的一个词,
[00:07:01] 叫缓冲度,
[00:07:02] 七度还是八度缓冲度,
[00:07:04] 这里边咱们说最主要的一度缓冲,
[00:07:07] 缓冲酸解的缓冲度是谁?
[00:07:09] 是碳酸氢根比碳酸,
[00:07:12] 当然教材在课件里写成,
[00:07:14] 碳酸氢那比碳酸也是可以的,
[00:07:16] 实际上碳酸氢根比碳酸这个词,
[00:07:19] 更规矩一点,
[00:07:21] 正常值20比1,
