# 源音频：P24-生理学本科教学及考研基础课 p24 循环-调节.m4a
# 时长：5777s | 模型：C:\Users\somnu\.cache\fw-large-v3 | cuda/int8_float16 | 语种：zh(p=1.00)

[00:00:10] 好同学们,这样咱们就接下来安心的读一下心血管活动调节。
[00:00:15] 生理学你也知道,一谈调节,就是三块内部,神经、体液和自身。
[00:00:22] 按这个顺序咱们先看神经调节。
[00:00:25] 所以世界上一学到心血管系统神经调节的时候,这是咱们开始学习生理学这门学科,第一次接触到植物神经了。
[00:00:34] 虚空系统,包括呼吸、消化、慢慢往后面走,都是学到植物神经。
[00:00:40] 所以学到植物神经为什么一直改开一句话说,输到用时放很少。
[00:00:45] 咱们发现大医学的解剖学,放到生理学的时候就没学过一样。
[00:00:49] 甚至同学们都不知道植物神经包括交感和弥走。
[00:00:53] 那么弥走经常有被人在教材上称之为副交感。
[00:00:58] 副交感和弥走是什么关系?
[00:00:59] 最终的地方都是问题。
[00:01:01] 咱们体会一下,实际上副交感神经呢?
[00:01:04] 特指弥走神经感的传出部分。
[00:01:07] 弥走神经作为一条混合的神经感,既有传入神经,也有传出神经。
[00:01:12] 实际上交感也是,既传入也传出。
[00:01:14] 交感,你比如说传入的话,咱们就听个案例。
[00:01:17] 心脏的疼痛,心脚痛,就是通过交感传入,让人产生感受的,很多舒服的感受。
[00:01:24] 那么弥走也是有传入神经,也有传出。
[00:01:27] 传出的一个部分我们给名字,叫副交感。
[00:01:31] 这是第一个。
[00:01:32] 第二个,不管交感也好。
[00:01:33] 弥走也好。
[00:01:35] 都有所谓的节前线位和节后线位。
[00:01:38] 所以实际上,在讲到考研其中和。
[00:01:41] 今天这个地方,咱们讲的是本科教学。
[00:01:43] 咱们没有讲太多很啰嗦的事。
[00:01:45] 你以这个事业作为例,比如说,我们谈到心血管中枢的时候,基本中枢是在盐水。
[00:01:51] 所以解剖学也强调,所谓的神灵中枢,在鼻鼻脑干盐水这,有心血管中枢,有弥走。
[00:01:59] 它的中枢,弥走神一合,被合。
[00:02:02] 有时候你讲什么?
[00:02:03] 什么是个一合被合?
[00:02:05] 弥走神经在盐水的两个神经合同,中枢合同,就叫一合。
[00:02:08] 一个叫怀疑的一合,一个是合不得被,叫被合。
[00:02:11] 对了,就弥走中枢。
[00:02:13] 此外,实际上,鼻鼻脑还有谁?
[00:02:15] 还有呼吸中枢。
[00:02:16] 所以到了呼吸系统,还要专门学。
