行号	误识	纠正为	置信度	原句
41	见反射	腱反射	high	他往两头说说,我前拉肌肉的时候,一拉它,肌肉啪就往回缩,不可见反射肌肉,肌肉就短了,可短了以后,我这感受光致不能变得松弛。
100	神经线围	神经纤维	high	而且组成的神经线围类型也不一样。
105	神经线围	神经纤维	high	这是神经线围,我回头把这个表格,
187	千丈反射	牵张反射	high	都是长在千丈反射的反射弧上,
188	千丈反射	牵张反射	high	传入蟹尾在这说的是五个级千丈反射反射弧的传入部分,
193	千丈反射	牵张反射	high	积缩既是千丈反射的感受器,
206	千丈反射	牵张反射	high	一谈到积缩和骨骼肌这个千丈反射时候,
208	千丈反射	牵张反射	high	千丈反射有两种,
224	去大脑僵持	去大脑僵直	medium	给它起名字叫去大脑僵持,
226	千丈反射	牵张反射	high	目的就不在千丈反射,
227	千丈反射	牵张反射	high	是通过千丈反射这个细节的知识理解,
229	去大脑僵持	去大脑僵直	medium	去大脑僵持,
235	千丈反射	牵张反射	high	这个图咱们接着说千丈反射,
236	千丈反射	牵张反射	high	这是千丈反射一个完整的反射过程,
254	中板膜	终板膜	high	释放胆碱和中板膜上的N2C受力结合,
257	中板电位	终板电位	high	产生中板电位,
259	收缩偶连	收缩耦联	high	再通过所谓的信封和收缩偶连的过程,
286	结抗肌	拮抗剂	high	还有一块结抗肌,
347	前复合	前负荷	high	一个改变前复合,
348	后复合	后负荷	high	一个改变后复合,
359	心脚痛	心绞痛	high	心脚痛,
461	脚反射	腱反射	medium	刺激伽马神经元让肌肉通过前脚反射收缩一下,
462	脚反射	腱反射	medium	就比拉肌肉让肌肉前脚反射收缩一下,
467	脚反射	腱反射	medium	刺激伽马引发出来的前脚反射这种肌肉收缩,
468	脚反射	腱反射	medium	又比前脚反射本身,
469	脚反射	腱反射	medium	又比前脚反射本身,
475	脚反射	腱反射	medium	刺激伽马是完全可以通过前脚反射这个反射弧,
478	脚反射	腱反射	medium	要比前脚反射多几步,
481	脚反射	腱反射	medium	叫延长的前脚反射,
482	脚反射	腱反射	medium	延长的前脚反射,
494	脚反射	腱反射	medium	因为上节课给我讲了一个标配的谷歌前脚反射,
497	脚反射	腱反射	medium	为什么它说伽马环路是一个延长的前脚反射,
502	脚反射	腱反射	medium	伽马环路是一个延长的前脚反射,
504	脚反射	腱反射	medium	就是所谓的反前脚反射,
506	建器官	腱器官	high	建器官,
509	建器官	腱器官	high	建器官长在肌肉两头是串联关系,
511	建器官	腱器官	high	建器官感受肌肉长度,
515	建器官	腱器官	high	建器官需要很强的强度,
522	建器官	腱器官	high	打预热建器官,
523	建器官	腱器官	high	为什么预热建器官?
526	建器官	腱器官	high	那么建器官预热的一个好处是什么?
528	脚反射	腱反射	medium	引子反前脚反射,
535	脚反射	腱反射	medium	在前脚反射的过程中,
545	脚反射	腱反射	medium	称之为反前脚反射,
757	前掌反射	牵张反射	high	一旦咱们这个地方有了一个延长的前掌反射的概念的话,
769	前掌反射	牵张反射	high	前掌反射,
773	前掌反射	牵张反射	high	前掌反射,
774	前掌反射	牵张反射	high	延长的前掌反射,
776	前掌反射	牵张反射	high	前掌反射,
816	异化区	易化区	high	5就是网状结构的异化区,
817	异化区	易化区	high	异化区,
820	异质区	抑制区	high	就是异质区,
821	异质区	抑制区	high	异质区比较小,
835	异化区	易化区	high	异化区域搭吧,
977	中枢严格	中枢延搁	high	中枢严格,
1074	去打脑僵持	去大脑僵直	medium	就表现为去打脑僵持,
1094	去打脑僵持	去大脑僵直	medium	去打脑僵持的本身,
1099	去打脑僵持	去大脑僵直	medium	去打脑僵持,
1170	去大脑僵持	去大脑僵直	medium	一个去大脑僵持的实验动物,
1244	前掌反射	牵张反射	high	前掌反射,
1245	前掌反射	牵张反射	high	延长的前掌反射,
1246	前掌反射	牵张反射	high	延长并且增强的前掌反射,
1254	前掌反射	牵张反射	high	是一个延长并且增强的前掌反射,
1260	前掌反射	牵张反射	high	前掌反射服务,
1262	前掌反射	牵张反射	high	咱们在复习前掌反射服务,
1282	信号传导	信号转导	medium	极缩的信号传导,
1434	曲级反射	屈肌反射	high	就管一个曲级反射,
1485	去脾层僵直	去皮层僵直	high	它就表现一个去脾层僵直,
1658	神经管	神经元	medium	未听神经管谁的,
1787	前反射	腱反射	medium	这个前反射不能引出,
1808	去大脑僵持	去大脑僵直	medium	就是最典型的一个去大脑僵持,
1813	去大脑僵持	去大脑僵直	medium	在生理学上叫去大脑僵持,
1829	去大脑僵持	去大脑僵直	medium	去大脑僵持,
1928	皮层脊髓术	皮层脊髓束	high	通过大脑皮层指标皮层脊髓术,
