行号	误识	纠正为	置信度	原句
5	胶感神经	交感神经	high	你说到米祖圣经的时候,就是米祖圣经的盐水一盒被合,差不多全生你能想象出来大多数的器官、内脏活动都是从这个地方,盐水米祖圣经一盒被合两个合团来发出节线结尾去支配内脏活动的,而胶感神经不是,胶感神经差不多从胸一开始到腰二的水平,在脊髓侧颈上发出以后,到椎旁或椎前神经节,这样口里有胶感链,
5	胶感神经	交感神经	high	你说到米祖圣经的时候,就是米祖圣经的盐水一盒被合,差不多全生你能想象出来大多数的器官、内脏活动都是从这个地方,盐水米祖圣经一盒被合两个合团来发出节线结尾去支配内脏活动的,而胶感神经不是,胶感神经差不多从胸一开始到腰二的水平,在脊髓侧颈上发出以后,到椎旁或椎前神经节,这样口里有胶感链,
6	胶感神经	交感神经	high	在脊髓旁边交换神经给变成节后协微,所以最后背了一个说,节线协微短,节后协微长,在脊髓旁边去形成节后协微,再往相应阶段去,应该说走形,并发挥相应的一个支配功能,它是这个样子,所以世界上米祖就是那么一小粗,一小搓,一小团,胶感是弥散分布的,这世界上也和咱们讲了一句话说,生于米祖,死于胶感,胶感神经经常使得一个内心比较平静,
7	胶感神经	交感神经	high	身体比较安逸的状态下,因为突然一个内外环境的剧烈刺激,唤醒胶感,能不能这样说,米祖神经一辈子,胶感神经一阵子,人老是胶感神经性,后来你活不下来,所以你慢慢就听懂说,一个人到中年的人,他的工作,学习,家庭,家人,同事,朋友,这关系没有安排好,总是周围环境不稳当,所谓的后院着火,那这个情况下仍然处于一个紧张焦虑状态,
7	胶感神经	交感神经	high	身体比较安逸的状态下,因为突然一个内外环境的剧烈刺激,唤醒胶感,能不能这样说,米祖神经一辈子,胶感神经一阵子,人老是胶感神经性,后来你活不下来,所以你慢慢就听懂说,一个人到中年的人,他的工作,学习,家庭,家人,同事,朋友,这关系没有安排好,总是周围环境不稳当,所谓的后院着火,那这个情况下仍然处于一个紧张焦虑状态,
8	胶感神经	交感神经	high	胶感神经持续兴奋,表现为血压升高,血脂升高,血糖升高,糖尿病,冠心病,脑血管病,所以慢慢你读过内科学以后发现,在这些经典的疾病,不管高血压也好,冠心病也好,肾脏病也好,还是糖尿病也罢,我们都强调一个共同的话题,叫糖化血红蛋白,不得超过7%,
230	神经线位	神经纤维	high	神经线位就是那条变线
601	感觉习惯	感觉器官	medium	感觉习惯
1142	后发方	后发放	high	出现这个后发方
1171	快动向	快动相	high	飞 也求快动向和也求快动向
1171	快动向	快动相	high	飞 也求快动向和也求快动向
1279	突出后抑制	突触后抑制	high	所以在前面突出后抑制
1287	神经地质	神经递质	high	看得专门是否有抑制神经地质
1400	粗激素	促激素	high	四个粗激素
1576	理紧张	肌紧张	medium	肌理紧张力都消失
1680	心脚痛	心绞痛	high	所以心脚痛呀
